作業名,名称,摘要,単位,Ｅ－１,Ｅ－１.1,Ｅ－２,Ｅ－２.1,備考
屋内防水密着工法 (１㎡当たり),名 称,摘 要,単位,平 面,"立上り
立下り面",平 面,"立上り
立下り面",備 考
屋内防水密着工法 (１㎡当たり),アスファルトプライマー,,㎏,0.2,0.2,0.2,0.2,
屋内防水密着工法 (１㎡当たり),アスファルト,3種,㎏,5.0,6.93,4.0,4.93,
屋内防水密着工法 (１㎡当たり),ゴムアスファルト系シール材,,L,―,0.25,―,0.25,
屋内防水密着工法 (１㎡当たり),アスファルトルーフィング,1500,㎡,2.28,2.28,1.14,1.14,
屋内防水密着工法 (１㎡当たり),網状アスファルトルーフィング,,㎡,―,0.26,―,0.26,
屋内防水密着工法 (１㎡当たり),ストレッチルーフィング,1000,㎡,1.14,3.14,1.14,2.0,
屋内防水密着工法 (１㎡当たり),燃料,重油,L,1.5,2.1,1.2,1.5,
屋内防水密着工法 (１㎡当たり),防水工,,人,0.059,0.13,0.044,0.091,
屋内防水密着工法 (１㎡当たり),普通作業員,,人,0.021,0.041,0.016,0.028,
屋内防水密着工法 (１㎡当たり),その他,,式,1,1,1,1,
