作業名,土工名称,土工区分,土工区分.1,適用機械,備考
な場合は別途考慮する。,根切り,つぼ掘り及び布掘り,つぼ掘り及び布掘り,バックホウ0.8ｍ3,
な場合は別途考慮する。,根切り,山留め付き総掘り,自立式,バックホウ1.4ｍ3,バックホウ積込
な場合は別途考慮する。,根切り,山留め付き総掘り,切梁腹起方式,バックホウ1.4ｍ3,バックホウ積込
な場合は別途考慮する。,根切り,山留め付き総掘り,切梁腹起方式,バックホウ0.45ｍ3,クラムシェル積込
な場合は別途考慮する。,根切り,山留め付き総掘り,グランドアンカー方式,バックホウ1.4ｍ3,バックホウ積込
な場合は別途考慮する。,根切り,山留め付き総掘り,グランドアンカー方式,バックホウ0.8ｍ3,クラムシェル積込
な場合は別途考慮する。,根切り,法付き総掘り,法付き総掘り,バックホウ1.4ｍ3,
な場合は別途考慮する。,根切り,小規模土工,小規模土工,バックホウ0.28ｍ3,
な場合は別途考慮する。,埋戻し,つぼ掘り及び布掘り,つぼ掘り及び布掘り,バックホウ0.8ｍ3,
な場合は別途考慮する。,埋戻し,山留め付き総掘り,山留め付き総掘り,バックホウ0.8ｍ3,
な場合は別途考慮する。,埋戻し,法付き総掘り,法付き総掘り,バックホウ0.8ｍ3,
な場合は別途考慮する。,埋戻し,小規模土工,小規模土工,バックホウ0.28ｍ3,
な場合は別途考慮する。,盛土,,,バックホウ0.8ｍ3,
な場合は別途考慮する。,敷ならし,,,ブルドーザ3t級,
な場合は別途考慮する。,締固め,,,振動ローラ2.4～2.8t,
な場合は別途考慮する。,すきとり,,,ブルドーザ3t級,
な場合は別途考慮する。,積込,一般,一般,バックホウ0.8ｍ3,
な場合は別途考慮する。,積込,小規模土工,小規模土工,バックホウ0.28ｍ3,
な場合は別途考慮する。,建設発生土運搬,一般,一般,ダンプトラック10t積級,
な場合は別途考慮する。,建設発生土運搬,小規模土工,小規模土工,ダンプトラック4t積級,
な場合は別途考慮する。,建設発生土運搬,人力土工,人力土工,ダンプトラック2t積級,
