作業名,名称,摘要,単位,Ａ種,Ｂ種,備考
【標仕仕様】クリヤラッカー塗り(ＣＬ) (1㎡当たり),ラッカー系シーラー,JIS K 5533,kg,0.1,0.1,ウッドシーラー
【標仕仕様】クリヤラッカー塗り(ＣＬ) (1㎡当たり),ラッカー系シーラー,JIS K 5533,kg,0.1,0.1,サンジングシーラー
【標仕仕様】クリヤラッカー塗り(ＣＬ) (1㎡当たり),,JIS K 5531,,,,
【標仕仕様】クリヤラッカー塗り(ＣＬ) (1㎡当たり),ニトロセルロースラッカー,,kg,0.20,0.1,
【標仕仕様】クリヤラッカー塗り(ＣＬ) (1㎡当たり),,(木材用ｸﾘﾔﾗｯｶｰ),,,,
【標仕仕様】クリヤラッカー塗り(ＣＬ) (1㎡当たり),目 止 め 剤,ｸﾘﾔﾗｯｶｰ塗り用,kg,0.2,―,
【標仕仕様】クリヤラッカー塗り(ＣＬ) (1㎡当たり),研 磨 紙,P220～240,枚,0.13,0.13,
【標仕仕様】クリヤラッカー塗り(ＣＬ) (1㎡当たり),研 磨 紙,P240～320,枚,0.25,―,
【標仕仕様】クリヤラッカー塗り(ＣＬ) (1㎡当たり),塗 装 工,,人,0.12,0.067,
【標仕仕様】クリヤラッカー塗り(ＣＬ) (1㎡当たり),そ の 他,,式,1,1,
