作業名,名称,摘要,単位,Ａ種,Ｂ種,備考
【改修標仕仕様】クリヤラッカー塗り(ＣＬ)(糸幅:300mm以下)	(1ｍ当たり),ラッカー系シーラー,JIS K 5533,kg,0.01,0.01,ウッドシーラー
【改修標仕仕様】クリヤラッカー塗り(ＣＬ)(糸幅:300mm以下)	(1ｍ当たり),ラッカー系シーラー,JIS K 5533,kg,0.01,0.01,サンジングシーラー
【改修標仕仕様】クリヤラッカー塗り(ＣＬ)(糸幅:300mm以下)	(1ｍ当たり),,JIS K 5531,,,,
【改修標仕仕様】クリヤラッカー塗り(ＣＬ)(糸幅:300mm以下)	(1ｍ当たり),ﾆﾄﾛｾﾙﾛｰｽﾗｯｶｰ,,kg,0.02,0.01,
【改修標仕仕様】クリヤラッカー塗り(ＣＬ)(糸幅:300mm以下)	(1ｍ当たり),,(木材用ｸﾘﾔﾗｯｶｰ),,,,
【改修標仕仕様】クリヤラッカー塗り(ＣＬ)(糸幅:300mm以下)	(1ｍ当たり),目止め剤,ｸﾘﾔﾗｯｶ-塗り用,kg,0.02,―,
【改修標仕仕様】クリヤラッカー塗り(ＣＬ)(糸幅:300mm以下)	(1ｍ当たり),研磨紙,P120～220,枚,0.007,0.007,
【改修標仕仕様】クリヤラッカー塗り(ＣＬ)(糸幅:300mm以下)	(1ｍ当たり),研磨紙,P220～240,枚,0.013,0.013,
【改修標仕仕様】クリヤラッカー塗り(ＣＬ)(糸幅:300mm以下)	(1ｍ当たり),研磨紙,P240～320,枚,0.025,―,
【改修標仕仕様】クリヤラッカー塗り(ＣＬ)(糸幅:300mm以下)	(1ｍ当たり),塗装工,,人,0.041,0.024,
【改修標仕仕様】クリヤラッカー塗り(ＣＬ)(糸幅:300mm以下)	(1ｍ当たり),その他,,式,1,1,
