作業名,Unnamed:1,Unnamed:2,Unnamed:3,フラット,フラット.1,凹凸模様,Unnamed:7
天井ロックウール吸音板張り (1㎡当たり),名 称,摘 要,単位,,,,備 考
天井ロックウール吸音板張り (1㎡当たり),,,,軽鉄直張り,下地張り共,下地張り共,
天井ロックウール吸音板張り (1㎡当たり),ロックウール吸音板,フラット,㎡,1.05,1.05,0.07,
天井ロックウール吸音板張り (1㎡当たり),ロックウール吸音板,凹凸模様,㎡,─,─,0.98,
天井ロックウール吸音板張り (1㎡当たり),せっこうボード,,㎡,─,1.05,1.05,
天井ロックウール吸音板張り (1㎡当たり),くぎ,特殊,kg,0.07,─,─,
天井ロックウール吸音板張り (1㎡当たり),ステープル,,kg,─,0.02,0.02,
天井ロックウール吸音板張り (1㎡当たり),接着剤,ボード用,kg,─,0.22,0.22,
天井ロックウール吸音板張り (1㎡当たり),内装工,,人,0.06,0.075,0.12,
天井ロックウール吸音板張り (1㎡当たり),その他,,式,1,1,1,
