表,作業名,細目,摘要,単位,材料,雑材料,"電工
［人］",その他,備考,注
表RE-1-5【設】,金属トラフ,細目,摘要,単位,"金属トラフ
［ｍ］",雑材料,"電工
［人］",その他,備考,
表RE-1-5【設】,金属トラフ,,200mm×100mm,,1,,0.52,,,
表RE-1-5【設】,金属トラフ,,250mm×100mm,,1,,0.54,,,
表RE-1-5【設】,金属トラフ,,300mm×100mm,,1,１式,0.56,,,
表RE-1-5【設】,金属トラフ,,400mm×150mm,,1,,0.62,,,
表RE-1-5【設】,金属トラフ,,500mm×150mm,,1,"材
料
価
格",0.66,,,
表RE-1-5【設】,金属トラフ,金属トラフ,500mm×200mm,ｍ,1,"材
料
価
格",0.68,１式,,
表RE-1-5【設】,金属トラフ,金属トラフ,600mm×200mm,ｍ,1,"材
料
価
格",0.72,１式,,
表RE-1-5【設】,金属トラフ,,600mm×250mm,,1,×,0.74,,,
表RE-1-5【設】,金属トラフ,,600mm×300mm,,1,0.02,0.76,,,
表RE-1-5【設】,金属トラフ,,800mm×250mm,,1,,0.82,,,
表RE-1-5【設】,金属トラフ,,800mm×300mm,,1,,0.84,,,
表RE-1-5【設】,金属トラフ,,800mm×400mm,,1,,0.88,,,
