表,作業名,細目,摘要,単位,材料-防火区画貫通処理材料［か所］,電工［人］,その他,備考,注
表RE-1-6【市】,防火区画貫通処理,ケーブルラック(壁),200mm幅,か所,１式,0.794,１式,,
表RE-1-6【市】,防火区画貫通処理,ケーブルラック(壁),300mm幅400mm幅,か所,１式,0.9461.10,１式,,
表RE-1-6【市】,防火区画貫通処理,ケーブルラック(壁),500mm幅600mm幅,か所,１式,1.251.40,１式,,
表RE-1-6【市】,防火区画貫通処理,ケーブルラック(壁),800mm幅,か所,１式,1.71,１式,,
表RE-1-6【市】,防火区画貫通処理,ケーブルラック(壁),1000mm幅,か所,１式,2.01,１式,,
表RE-1-6【市】,防火区画貫通処理,ケーブルラック(床),200mm幅,か所,１式,0.722,１式,,
表RE-1-6【市】,防火区画貫通処理,ケーブルラック(床),300mm幅,か所,１式,0.860,１式,,
表RE-1-6【市】,防火区画貫通処理,ケーブルラック(床),400mm幅,か所,１式,0.998,１式,,
表RE-1-6【市】,防火区画貫通処理,ケーブルラック(床),500mm幅600mm幅,か所,１式,1.141.27,１式,,
表RE-1-6【市】,防火区画貫通処理,ケーブルラック(床),800mm幅1000mm幅,か所,１式,1.551.83,１式,,
表RE-1-6【市】,防火区画貫通処理,金属管用,(19),か所,１式,0.022,１式,,
表RE-1-6【市】,防火区画貫通処理,金属管用,(25),か所,１式,0.027,１式,,
表RE-1-6【市】,防火区画貫通処理,金属管用,(31),か所,１式,0.033,１式,,
表RE-1-6【市】,防火区画貫通処理,金属管用,(39),か所,１式,0.037,１式,,
表RE-1-6【市】,防火区画貫通処理,金属管用,(51),か所,１式,0.042,１式,,
表RE-1-6【市】,防火区画貫通処理,金属管用,(63),か所,１式,0.046,１式,,
表RE-1-6【市】,防火区画貫通処理,金属管用,(75),か所,１式,0.050,１式,,
