表,作業名,細目,摘要,単位,材料-ＨＩＤ灯器具［個］,材料-灯具昇降装置,雑材料,電工［人］,その他,備考,注
表RE-2-2【設】,ＨＩＤ灯器具(ア),ＨＩＤ灯器具,投光器400Ｗ以下,個,1,,１式材料価格×0.02,1.430,１式,,
表RE-2-2【設】,ＨＩＤ灯器具(ア),ＨＩＤ灯器具,投光器1000Ｗ以下,個,1,,１式材料価格×0.02,1.740,１式,,
表RE-2-2【設】,ＨＩＤ灯器具(ア),ＨＩＤ灯器具,直付250Ｗ以下,個,1,,１式材料価格×0.02,0.304,１式,,
表RE-2-2【設】,ＨＩＤ灯器具(ア),ＨＩＤ灯器具,直付直付400Ｗ以下1000Ｗ以下,個,11,,１式材料価格×0.02,0.3480.417,１式,,
表RE-2-2【設】,ＨＩＤ灯器具(ア),ＨＩＤ灯器具,ﾊﾟｲﾌﾟﾍﾟﾝﾀﾞﾝﾄ250Ｗ以下,個,11,,１式材料価格×0.02,0.3300.391,１式,,
表RE-2-2【設】,ＨＩＤ灯器具(ア),ＨＩＤ灯器具,ﾊﾟｲﾌﾟﾍﾟﾝﾀﾞﾝﾄ400Ｗ以下,個,1,,１式材料価格×0.02,0.470,１式,,
表RE-2-2【設】,ＨＩＤ灯器具(ア),ＨＩＤ灯器具,ﾊﾟｲﾌﾟﾍﾟﾝﾀﾞﾝﾄ1000Ｗ以下,個,1,,１式材料価格×0.02,0.470,１式,,
表RE-2-2【設】,ＨＩＤ灯器具(ア),ＨＩＤ灯器具,埋込150Ｗ以下,個,1,,１式材料価格×0.02,0.240,１式,,
表RE-2-2【設】,ＨＩＤ灯器具(ア),ＨＩＤ灯器具,埋込250Ｗ以下,個,1,,１式材料価格×0.02,0.357,１式,,
表RE-2-2【設】,ＨＩＤ灯器具(ア),ＨＩＤ灯器具,埋込400Ｗ以下,個,1,,１式材料価格×0.02,0.409,１式,,
表RE-2-2【設】,ＨＩＤ灯器具(ア),灯具昇降装置,昇降装置,個,,1,１式材料価格×0.02,0.200,１式,,
表RE-2-2【設】,ＨＩＤ灯器具(ア),灯具昇降装置,滑車,個,,1,１式材料価格×0.02,0.080,１式,,
表RE-2-2【設】,ＨＩＤ灯器具(ア),灯具昇降装置,ワイヤー,ｍ,,1,１式材料価格×0.02,0.020,１式,,
