表,作業名,細目,摘要,単位,材料,雑材料,電工［人］,その他,備考,注
表RE-2-6【設】,蛍光灯器具(イ),細目,摘要,単位,蛍光灯器具［個］,雑材料,電工［人］,その他,備考,
表RE-2-6【設】,蛍光灯器具(イ),,ＦＬ10Ｗ×1,,1,,0.174,,,
表RE-2-6【設】,蛍光灯器具(イ),,ＦＬ20Ｗ×1,,1,,0.200,,,
表RE-2-6【設】,蛍光灯器具(イ),,ＦＬ30Ｗ×1,個,1,,0.209,,,
表RE-2-6【設】,蛍光灯器具(イ),,ＦＬ40Ｗ×1,,1,,0.313,,,
表RE-2-6【設】,蛍光灯器具(イ),,ＦＬ110Ｗ×1,,1,,0.591,,,
表RE-2-6【設】,蛍光灯器具(イ),,ＦＬ10Ｗ×2,,1,,0.209,,,
表RE-2-6【設】,蛍光灯器具(イ),,ＦＬ20Ｗ×2,,1,１式,0.252,,,
表RE-2-6【設】,蛍光灯器具(イ),,ＦＬ30Ｗ×2,個,1,材料価格,0.278,,,
表RE-2-6【設】,蛍光灯器具(イ),,ＦＬ40Ｗ×2,,1,材料価格,0.391,,,
表RE-2-6【設】,蛍光灯器具(イ),,ＦＬ110Ｗ×2,,1,材料価格,0.722,,,
表RE-2-6【設】,蛍光灯器具(イ),,ＦＬ10Ｗ×3,,1,材料価格,0.261,,,
表RE-2-6【設】,蛍光灯器具(イ),蛍光灯器具(埋込形),ＦＬ20Ｗ×3,個,1,×,0.313,１式,,
表RE-2-6【設】,蛍光灯器具(イ),,ＦＬ40Ｗ×3,個,1,0.05,0.513,,,
表RE-2-6【設】,蛍光灯器具(イ),,ＦＬ110Ｗ×3,,1,,0.913,,,
表RE-2-6【設】,蛍光灯器具(イ),,ＦＬ20Ｗ×4,,1,,0.461,,,
表RE-2-6【設】,蛍光灯器具(イ),,ＦＬ40Ｗ×4,個,1,,0.670,,,
表RE-2-6【設】,蛍光灯器具(イ),,ＦＬ110Ｗ×4,,1,,1.30,,,
表RE-2-6【設】,蛍光灯器具(イ),,ＦＬ20Ｗ×5,,1,,0.461,,,
表RE-2-6【設】,蛍光灯器具(イ),,ＦＬ40Ｗ×5,個,1,,0.670,,,
表RE-2-6【設】,蛍光灯器具(イ),,ＦＬ110Ｗ×5,,1,,1.30,,,
表RE-2-6【設】,蛍光灯器具(イ),,ＦＬ20Ｗ×6,,1,,0.461,,,
表RE-2-6【設】,蛍光灯器具(イ),,ＦＬ40Ｗ×6,個,1,,0.670,,,
表RE-2-6【設】,蛍光灯器具(イ),,ＦＬ110Ｗ×6,,1,,1.30,,,
