表,作業名,細目,摘要,単位,材料,材料.1,材料.2,雑材料,電工［人］,その他,備考,注
表RE-2-15【設】,地中管路,細目,摘要,単位,コンクリトトラフ［本］,ポリエチレン被覆鋼管［ｍ］,附属品,雑材料,電工［人］,その他,備考,
表RE-2-15【設】,地中管路,,幅120mm,,2,,,,0.128,,,
表RE-2-15【設】,地中管路,,幅150mm,,2,,,,0.157,,,
表RE-2-15【設】,地中管路,,幅200mm,,2,,,,0.183,,,
表RE-2-15【設】,地中管路,コンクリートトラフ,,ｍ,,,,,,,,
表RE-2-15【設】,地中管路,,幅250mm,,2,,,１式,0.209,,,
表RE-2-15【設】,地中管路,,幅300mm,,2,,,,0.226,,,
表RE-2-15【設】,地中管路,,幅400mm,,2,,,材,0.243,,,
表RE-2-15【設】,地中管路,,呼径25A,,,,１式,料価,0.070,,,
表RE-2-15【設】,地中管路,,呼径32A,,,,,格,0.087,１式,,
表RE-2-15【設】,地中管路,,呼径40A,,,,管,×,0.096,,,
表RE-2-15【設】,地中管路,ポリエチレン被覆鋼管,呼径50A,,,,価,0.02,0.113,,,
表RE-2-15【設】,地中管路,(PLP),呼径65A,ｍ,,1.05,格,,0.139,,,
表RE-2-15【設】,地中管路,,呼径80A,,,,×,,0.183,,,
表RE-2-15【設】,地中管路,,呼径100A,,,,0.15,,0.243,,,
表RE-2-15【設】,地中管路,,呼径125A,,,,,,0.287,,,
表RE-2-15【設】,地中管路,,呼径150A,,,,,,0.348,,,
