表,作業名,名称,摘要,単位,Ａ種,Ｂ種,備考,注
表RA-17-15【市】,【標仕仕様】クリヤラッカー塗り(ＣＬ)(1㎡当たり),ラッカー系シーラー,JISK5533,kg,0.1,0.1,ウッドシーラー,
表RA-17-15【市】,【標仕仕様】クリヤラッカー塗り(ＣＬ)(1㎡当たり),ラッカー系シーラー,JISK5533,kg,0.1,0.1,サンジングシーラー,
表RA-17-15【市】,【標仕仕様】クリヤラッカー塗り(ＣＬ)(1㎡当たり),,JISK5531,,,,,
表RA-17-15【市】,【標仕仕様】クリヤラッカー塗り(ＣＬ)(1㎡当たり),ニトロセルロースラッカー,,kg,0.20,0.1,,
表RA-17-15【市】,【標仕仕様】クリヤラッカー塗り(ＣＬ)(1㎡当たり),,(木材用ｸﾘﾔﾗｯｶｰ),,,,,
表RA-17-15【市】,【標仕仕様】クリヤラッカー塗り(ＣＬ)(1㎡当たり),目止め剤,ｸﾘﾔﾗｯｶｰ塗り用,kg,0.2,―,,
表RA-17-15【市】,【標仕仕様】クリヤラッカー塗り(ＣＬ)(1㎡当たり),研磨紙,P220～240,枚,0.13,0.13,,
表RA-17-15【市】,【標仕仕様】クリヤラッカー塗り(ＣＬ)(1㎡当たり),研磨紙,P240～320,枚,0.25,―,,
表RA-17-15【市】,【標仕仕様】クリヤラッカー塗り(ＣＬ)(1㎡当たり),塗装工,,人,0.12,0.067,,
表RA-17-15【市】,【標仕仕様】クリヤラッカー塗り(ＣＬ)(1㎡当たり),その他,,式,1,1,,
