表,Unnamed:1,Unnamed:2,Unnamed:3,縁石,縁石.1,Unnamed:6,注
表RA-20-1【設】縁石(1ｍ当たり),名称,摘要,単位,W100×H100,W150×H150,備考,
表RA-20-1【設】縁石(1ｍ当たり),,,,(標詳9-11-5),(標詳9-11-6),,
表RA-20-1【設】縁石(1ｍ当たり),特殊作業員,,人,0.06,0.07,,
表RA-20-1【設】縁石(1ｍ当たり),普通作業員,,人,0.04,0.05,,
表RA-20-1【設】縁石(1ｍ当たり),普通コンクリート,18NS=15,ｍ3,0.02,0.02,,
表RA-20-1【設】縁石(1ｍ当たり),歩車道ブロック,100/110×155×600,個,1.65,－,ロス1.05,
表RA-20-1【設】縁石(1ｍ当たり),歩車道ブロック,150/170×200×600,個,－,1.65,ロス1.05,
表RA-20-1【設】縁石(1ｍ当たり),根切り,,ｍ3,0.16,0.18,,
表RA-20-1【設】縁石(1ｍ当たり),埋戻し,,ｍ3,0.12,0.12,,
表RA-20-1【設】縁石(1ｍ当たり),建設発生土,排水敷ならし,ｍ3,0.04,0.06,別表RA-20-1-1による,
表RA-20-1【設】縁石(1ｍ当たり),砂利地業,,ｍ3,0.02,0.03,別表RA-20-1-2による,
表RA-20-1【設】縁石(1ｍ当たり),モルタル,,ｍ3,0.002,0.002,別表RA-20-1-3による,
表RA-20-1【設】縁石(1ｍ当たり),型枠,運搬費共,㎡,0.2,0.2,別表RA-20-1-4による,
表RA-20-1【設】縁石(1ｍ当たり),その他,,式,1,1,,
