表,作業名,名称,摘要,単位,Ｌ形側溝W=350(標詳9-11-1),Ｌ形側溝W=450(標詳9-11-2),備考,注
表RA-20-2【設】,Ｌ形側溝(1ｍ当たり),特殊作業員,,人,0.08,0.08,,
表RA-20-2【設】,Ｌ形側溝(1ｍ当たり),普通作業員,,人,0.05,0.05,,
表RA-20-2【設】,Ｌ形側溝(1ｍ当たり),Ｌ形側溝,250Ａ,個,1.65,－,ロス1.05,
表RA-20-2【設】,Ｌ形側溝(1ｍ当たり),Ｌ形側溝,250Ｂ,個,－,1.65,ロス1.05,
表RA-20-2【設】,Ｌ形側溝(1ｍ当たり),根切り,,ｍ3,0.17,0.19,,
表RA-20-2【設】,Ｌ形側溝(1ｍ当たり),埋戻し,,ｍ3,0.09,0.09,,
表RA-20-2【設】,Ｌ形側溝(1ｍ当たり),建設発生土,排水敷ならし,ｍ3,0.08,0.1,別表RA-20-1-1による,
表RA-20-2【設】,Ｌ形側溝(1ｍ当たり),砂利地業,,ｍ3,0.04,0.05,別表RA-20-1-2による,
表RA-20-2【設】,Ｌ形側溝(1ｍ当たり),モルタル,,ｍ3,0.01,0.01,別表RA-20-1-3による,
表RA-20-2【設】,Ｌ形側溝(1ｍ当たり),その他,,式,1,1,,
