表,作業名,名称,摘要,単位,Ａ種-鉄筋ｺﾝｸﾘｰﾄ造建物(一般ラーメン),Ｂ種-鉄筋ｺﾝｸﾘｰﾄ造建物(一般ラーメン),Ｂ種-鉄筋ｺﾝｸﾘｰﾄ造建物(壁式),Ｃ種-鉄筋ｺﾝｸﾘｰﾄ造建物(一般ラーメン),Ｃ種-鉄筋ｺﾝｸﾘｰﾄ造建物(壁式),備考,注
表RA-6-2【市】【専】,打放し合板型枠(1㎡当たり),合板,型枠用厚12㎜,㎡,1.06,1.06,1.06,1.06,1.06,30％,
表RA-6-2【市】【専】,打放し合板型枠(1㎡当たり),さん材,900×1800㎜,ｍ3,0.005,0.005,0.004,0.005,0.004,36％,
表RA-6-2【市】【専】,打放し合板型枠(1㎡当たり),角材,,ｍ,0.003,0.003,0.003,0.003,0.003,20％,
表RA-6-2【市】【専】,打放し合板型枠(1㎡当たり),丸パイプ,,本,7.33,7.33,7.55,7.33,7.55,3％,
表RA-6-2【市】【専】,打放し合板型枠(1㎡当たり),パイプサポート,溶融亜鉛ﾒｯｷ,個,0.44,0.44,0.33,0.44,0.33,5％,
表RA-6-2【市】【専】,打放し合板型枠(1㎡当たり),セパレータ,ボルト式,本,1.74,1.74,1.71,1.74,1.71,100％,
表RA-6-2【市】【専】,打放し合板型枠(1㎡当たり),フォームタイ,座金とも,個,3.48,3.48,3.42,3.48,3.42,30％,
表RA-6-2【市】【専】,打放し合板型枠(1㎡当たり),コーン,,kg,3.48,3.48,3.42,―,―,30％,
表RA-6-2【市】【専】,打放し合板型枠(1㎡当たり),くぎ金物,,Ｌ,0.06,0.06,0.06,0.06,0.06,,
表RA-6-2【市】【専】,打放し合板型枠(1㎡当たり),はく離剤,,人,―,0.02,0.02,0.02,0.02,,
表RA-6-2【市】【専】,打放し合板型枠(1㎡当たり),型わく工,,人,0.18,0.16,0.16,0.13,0.13,,
表RA-6-2【市】【専】,打放し合板型枠(1㎡当たり),普通作業員,,式,0.09,0.08,0.07,0.07,0.06,,
表RA-6-2【市】【専】,打放し合板型枠(1㎡当たり),その他,,,1,1,1,1,1,,
