表,作業名,名称,摘要,単位,Ｂ－１平面,Ｂ－１立上り-立下り面,Ｂ－２平面,Ｂ－２立上り-立下り面,備考,注
表RA-9-3【市】,屋根保護防水絶縁工法(１㎡当たり),アスファルトプライマー,,㎏,0.2,0.2,0.2,0.2,,
表RA-9-3【市】,屋根保護防水絶縁工法(１㎡当たり),アスファルト,3種,㎏,6.2,6.93,5.2,5.93,,
表RA-9-3【市】,屋根保護防水絶縁工法(１㎡当たり),ゴムアスファルト系シール材,,L,―,0.25,―,0.25,,
表RA-9-3【市】,屋根保護防水絶縁工法(１㎡当たり),アスファルトルーフィング,1500,㎡,2.28,2.28,1.14,1.14,,
表RA-9-3【市】,屋根保護防水絶縁工法(１㎡当たり),網状アスファルトルーフィング,,㎡,―,0.26,―,0.26,,
表RA-9-3【市】,屋根保護防水絶縁工法(１㎡当たり),砂付あなあきルーフィング,,㎡,1.04,△1.3,1.04,△1.3,,
表RA-9-3【市】,屋根保護防水絶縁工法(１㎡当たり),ストレッチルーフィング,1000,㎡,2.28,3.14,2.28,3.14,,
表RA-9-3【市】,屋根保護防水絶縁工法(１㎡当たり),ポリエチレンフィルム,厚0.15㎜,㎡,1.1,―,1.1,―,,
表RA-9-3【市】,屋根保護防水絶縁工法(１㎡当たり),燃料,重油,L,1.9,2.7,1.6,2.4,,
表RA-9-3【市】,屋根保護防水絶縁工法(１㎡当たり),防水工,,人,0.091,0.13,0.076,0.11,,
表RA-9-3【市】,屋根保護防水絶縁工法(１㎡当たり),普通作業員,,人,0.029,0.042,0.024,0.035,,
表RA-9-3【市】,屋根保護防水絶縁工法(１㎡当たり),その他,,式,1,1,1,1,,
