表,作業名,名称,摘要,単位,Ｅ－１平面,Ｅ－１立上り-立下り面,Ｅ－２平面,Ｅ－２立上り-立下り面,備考,注
表RA-9-6【市】,屋内防水密着工法(１㎡当たり),アスファルトプライマー,,㎏,0.2,0.2,0.2,0.2,,
表RA-9-6【市】,屋内防水密着工法(１㎡当たり),アスファルト,3種,㎏,5.0,6.93,4.0,4.93,,
表RA-9-6【市】,屋内防水密着工法(１㎡当たり),ゴムアスファルト系シール材,,L,―,0.25,―,0.25,,
表RA-9-6【市】,屋内防水密着工法(１㎡当たり),アスファルトルーフィング,1500,㎡,2.28,2.28,1.14,1.14,,
表RA-9-6【市】,屋内防水密着工法(１㎡当たり),網状アスファルトルーフィング,,㎡,―,0.26,―,0.26,,
表RA-9-6【市】,屋内防水密着工法(１㎡当たり),ストレッチルーフィング,1000,㎡,1.14,3.14,1.14,2.0,,
表RA-9-6【市】,屋内防水密着工法(１㎡当たり),燃料,重油,L,1.5,2.1,1.2,1.5,,
表RA-9-6【市】,屋内防水密着工法(１㎡当たり),防水工,,人,0.059,0.13,0.044,0.091,,
表RA-9-6【市】,屋内防水密着工法(１㎡当たり),普通作業員,,人,0.021,0.041,0.016,0.028,,
表RA-9-6【市】,屋内防水密着工法(１㎡当たり),その他,,式,1,1,1,1,,
