表,作業名,名称,摘要,単位,壁(花こう岩)ひき石厚30-600×800mm,壁(花こう岩)割石厚70-600×800mm,備考,注
表RA-10-1【設】【専】,外壁湿式工法(1㎡当たり),石材,,㎡,1.0,1.0,,
表RA-10-1【設】【専】,外壁湿式工法(1㎡当たり),セメント,,kg,26.2,36.5,,
表RA-10-1【設】【専】,外壁湿式工法(1㎡当たり),砂,,ｍ3,0.063,0.088,,
表RA-10-1【設】【専】,外壁湿式工法(1㎡当たり),鉄筋,Ｄ10,kg,3.3,3.3,,
表RA-10-1【設】【専】,外壁湿式工法(1㎡当たり),引き金物,ステンレス製,kg,0.04,0.09,,
表RA-10-1【設】【専】,外壁湿式工法(1㎡当たり),引き金物,石厚40未満3.2mm,,,,,
表RA-10-1【設】【専】,外壁湿式工法(1㎡当たり),引き金物,40以上4.0mm,,,,,
表RA-10-1【設】【専】,外壁湿式工法(1㎡当たり),石工,,人,0.35,0.4,,
表RA-10-1【設】【専】,外壁湿式工法(1㎡当たり),普通作業員,,人,0.32,0.36,,
表RA-10-1【設】【専】,外壁湿式工法(1㎡当たり),その他,,式,1,1,,
