細目,摘要,単位,材料,雑材料,電工［人］,その他,備考,注
細目,摘要,単位,蛍光灯器具［個］,雑材料,電工［人］,その他,備考,
,ＦＬ10Ｗ×1,,1,,0.113,,,
,ＦＬ20Ｗ×1,,1,,0.130,,,
,ＦＬ30Ｗ×1,個,1,,0.139,,,
,ＦＬ40Ｗ×1,,1,,0.209,,,
,ＦＬ110Ｗ×1,,1,,0.391,,,
,ＦＬ10Ｗ×2,,1,,0.139,,,
,ＦＬ20Ｗ×2,,1,１式,0.165,,,
,ＦＬ30Ｗ×2,個,1,材料価格,0.183,,,
,ＦＬ40Ｗ×2,,1,材料価格,0.261,,,
,ＦＬ110Ｗ×2,,1,材料価格,0.478,,,
,ＦＬ10Ｗ×3,,1,材料価格,0.174,,,
蛍光灯器具(露出形),ＦＬ20Ｗ×3,個,1,×,0.209,１式,,
蛍光灯器具(露出形),ＦＬ40Ｗ×3,個,1,0.05,0.339,１式,,
,ＦＬ110Ｗ×3,,1,,0.609,,,
,ＦＬ10Ｗ×4,,1,,0.243,,,
,ＦＬ20Ｗ×4,個,1,,0.304,,,
,ＦＬ40Ｗ×4,個,1,,0.443,,,
,ＦＬ110Ｗ×4,,1,,0.870,,,
,ＦＬ20Ｗ×5,,1,,0.304,,,
,ＦＬ40Ｗ×5,個,1,,0.443,,,
,ＦＬ110Ｗ×5,,1,,0.870,,,
,ＦＬ20Ｗ×6,,1,,0.304,,,
,ＦＬ40Ｗ×6,個,1,,0.443,,,
,ＦＬ110Ｗ×6,,1,,0.870,,,
