細目,摘要,単位,材料,雑材料,"電工
［人］",その他,備考,注
細目,摘要,単位,"Ｈｆ蛍光灯器具
［個］",雑材料,"電工
［人］",その他,備考,
,ＦＨＦ16Ｗ×1,,1,,0.117,,,
,ＦＨＦ32Ｗ×1,個,1,,0.178,,,
Ｈｆ蛍光灯器具(露出形),ＦＨＦ86Ｗ×1,,1,,0.332,,,
Ｈｆ蛍光灯器具(露出形),ＦＨＦ16Ｗ×2,個,1,,0.149,,,
,ＦＨＦ32Ｗ×2,個,1,,0.222,,,
,ＦＨＦ32Ｗ×6,個,1,,0.377,,,
,ＦＨＦ16Ｗ×1,,1,,0.180,,,
,ＦＨＦ32Ｗ×1,個,1,,0.266,,,
Ｈｆ蛍光灯器具(埋込形),ＦＨＦ86Ｗ×1,,1,,0.502,,,
Ｈｆ蛍光灯器具(埋込形),ＦＨＦ16Ｗ×2,個,1,,0.227,,,
,ＦＨＦ32Ｗ×2,個,1,１式,0.332,,,
,ＦＨＦ32Ｗ×6,個,1,材,0.570,,,
,ＦＨＰ32Ｗ×3,個,1,材,0.178,,,
,ＦＨＰ45Ｗ×4,個,1,"料
価
格",0.258,,,
,ＦＨＴ16Ｗ×1,,1,"料
価
格",0.130,１式,,
"Ｈｆｺﾝﾊﾟｸﾄ蛍光灯器具
(露出形)",ＦＨＴ24Ｗ×1,個,1,×,0.130,１式,,
"Ｈｆｺﾝﾊﾟｸﾄ蛍光灯器具
(露出形)",ＦＨＴ32Ｗ×1,個,1,0.05,0.130,,,
"Ｈｆｺﾝﾊﾟｸﾄ蛍光灯器具
(露出形)",ＦＨＴ42Ｗ×1,,1,,0.130,,,
,ＦＨＴ42Ｗ×2,個,1,,0.150,,,
,ＦＨＴ42Ｗ×3,個,1,,0.176,,,
,ＦＨＴ42Ｗ×4,個,1,,0.195,,,
,ＦＨＰ32Ｗ×3,個,1,,0.266,,,
,ＦＨＰ45Ｗ×4,個,1,,0.392,,,
,ＦＨＴ16Ｗ×1,,1,,0.209,,,
"Ｈｆｺﾝﾊﾟｸﾄ蛍光灯器具
(埋込形)",ＦＨＴ24Ｗ×1,個,1,,0.209,,,
"Ｈｆｺﾝﾊﾟｸﾄ蛍光灯器具
(埋込形)",ＦＨＴ32Ｗ×1,個,1,,0.209,,,
"Ｈｆｺﾝﾊﾟｸﾄ蛍光灯器具
(埋込形)",ＦＨＴ42Ｗ×1,,1,,0.209,,,
,ＦＨＴ42Ｗ×2,個,1,,0.240,,,
,ＦＨＴ42Ｗ×3,個,1,,0.282,,,
,ＦＨＴ42Ｗ×4,個,1,,0.314,,,
