摘要,摘要.1,Unnamed:2,Unnamed:3,材,料,Unnamed:6,配管工,Unnamed:8,Unnamed:9,備考,注
,,単位,,,,,配管工,はつり補修,その他,,
施工箇所,呼び径,単位,管［ｍ］,継手,接合材等支持金物,接合材等支持金物,［人］,はつり補修,その他,,
,50,,,,,,0.141,,,,
,6580,,1.10,１式(管単価×,,,0.1770.230,,,,
,100,,,1.90),,１式,0.341,１式,,,
屋内一般配管,125,ｍ,,,－,(管単価×,0.403,(労務費×,１式,,
,150,,1.05,,,0.10),0.490,0.08),,,
,200,,1.05,１式,,,0.647,,,,
,250,,,(管単価×,,,0.871,,,,
,300,,,1.20),,,1.049,,,,
,50,,,,,,0.169,,,,
,65,,1.10,１式,,,0.212,,,,
,80,,,１式,,,0.276,,,,
,80,,,(管単価×,,,0.276,,,,
,100,,,3.00),,１式,0.409,１式,,,
機械室・便所配管,125,ｍ,,,－,(管単価×,0.484,(労務費×,１式,,
,150,,1.05,,,0.10),0.588,0.08),,,
,200,,1.05,１式,,,0.776,,,,
,250,,,(管単価×,,,1.045,,,,
,300,,,1.90),,,1.259,,,,
,50,,,,,,0.127,,,,
,65,,,,,,0.159,,,,
,80,,,１式(管単価×1.60),,,0.207,,,,
屋外配管,100,,,１式(管単価×1.60),,１式,0.307,,,,
(架空・暗渠内・共同溝内),125,ｍ,1.05,,－,(管単価×,0.363,－,１式,,
,150,,,,,0.10),0.441,,,,
,200,,,１式,,,0.582,,,,
,250,,,(管単価×,,,0.784,,,,
,300,,,1.00),,,0.944,,,,
