Unnamed:0,Unnamed:1,材,材.1,料,料.1,雑材料,運搬費,保温工［人］,備考,注
呼び径,単位,アルミガラスクロス化粧保温筒［ｍ］,アルミガラスクロス化粧保温筒［ｍ］,アルミガラスクロス粘着テープ［ｍ］,アルミガラスクロス粘着テープ［ｍ］,雑材料,運搬費,保温工［人］,,
呼び径,単位,20厚,25厚,60幅,100幅,雑材料,運搬費,保温工［人］,,
15,,1.03,－,1.6,－,,,0.039,,
20,,1.03,－,1.6,－,,,0.042,,
25,,1.03,－,1.6,－,,,0.043,,
32,,1.03,－,1.7,－,,,0.044,,
,,,,,,,１,,,
40,,1.03,－,1.7,－,,式,0.048,,
,,,,,,,,,,
50,,1.03,－,1.8,－,１,材,0.051,,
,,,,,,式,料,,,
,,,,,,,費,,,
65,,1.03,－,1.9,－,材,＋,0.057,,
,m,,,,,料,雑,,,
80,,1.03,－,1.9,－,費×,材料,0.062,,
,,,,,,0.05,費,,,
100,,－,1.03,2.2,－,,,0.083,,
,,,,,,,×,,,
125,,－,1.03,2.3,－,,0.03,0.102,,
,,,,,,,,,,
150,,－,1.03,2.5,－,,,0.119,,
200,,－,1.03,－,2.7,,,0.166,,
250,,－,1.03,－,3.0,,,0.199,,
300,,－,1.03,－,3.3,,,0.234,,
