摘,摘.1,要,要.1,単位,材料,材料.1,材料.2,材料.3,材料.4,材料.5,材料.6,材料.7,材料.8,材料.9,材料.10,材料.11,雑材料,運搬費,保温工［人］,その他,備考,注
区分,保温材質,施工箇所,呼び径,単位,ポリスチレンフォーム保温筒［ｍ］,ポリスチレンフォーム保温筒［ｍ］,粘着テープ［ｍ］,ポリエチレンフィルム［ｍ］,ポリエチレンフィルム［ｍ］,ポリエチレンフィルム［ｍ］,ポリエチレンフィルム［ｍ］,ポリエチレンフィルム［ｍ］,着色アルミガラスクロス［ｍ］,着色アルミガラスクロス［ｍ］,着色アルミガラスクロス［ｍ］,着色アルミガラスクロス［ｍ］,雑材料,運搬費,保温工［人］,その他,,
区分,保温材質,施工箇所,呼び径,単位,20厚,25厚,粘着テープ［ｍ］,100幅,125幅,150幅200幅250幅,150幅200幅250幅,150幅200幅250幅,75幅,100幅,125幅150幅,125幅150幅,雑材料,運搬費,保温工［人］,その他,,
,,,15,,1.03,－,3.5,5.1,－,－,－,－,4.3,－,－,－,,,0.078,,,
,,,20,,1.03,－,3.6,5.4,－,－,－,－,4.7,－,－,－,,,0.081,,,
,,,25,,1.03,－,3.7,6.0,－,－,－,－,－,3.6,－,－,,,0.090,,,
,,,32,,1.03,－,3.9,6.6,－,－,－,－,－,4.0,－,－,,１,0.095,,,
,,暗,40,,1.03,－,4.0,7.0,－,－,－,－,－,4.3,－,－,,式材料,0.103,,,
給,ポリスチレンフム,渠内,50,,1.03,－,4.2,7.9,－,－,－,－,－,4.9,－,－,１式,式材料,0.113,,,
水管、排水,ポリスチレンフム,ピット内を,6580,m,1.031.03,－－,4.54.7,－－,7.28.0,－－,－－,－－,－－,－－,4.34.8,－－,材料費×,費＋雑材料費×0.03,0.1220.135,1式,,
管,ポリスチレンフム,含む,100125,,－－,1.031.03,5.45.9,－－,10.0－,－9.6,－－,－－,－－,－－,6.0－,－5.7,0.05,費＋雑材料費×0.03,0.1770.206,,,
,,,150,,－,1.03,6.4,－,－,10.8,－,－,－,－,－,6.4,,費＋雑材料費×0.03,0.236,,,
,,,200,,－,1.03,7.1,－,－,－,9.9,－,－,－,－,8.0,,,0.308,,,
,,,250,,－,1.03,8.1,－,－,－,11.7,－,－,－,－,9.5,,,0.407,,,
,,,300,,－,1.03,8.9,－,－,－,－,10.9,－,－,－,11.1,,,0.523,,,
