摘,摘.1,要,要.1,単位,材,材.1,材.2,材.3,料,料.1,料.2,料.3,料.4,料.5,料.6,料.7,雑材料,運搬費,保温工［人］,その他,備考,注
区分,保温材質,施工箇所,呼び径,単位,ポリスチレンフォーム保温筒［ｍ］,ポリスチレンフォーム保温筒［ｍ］,ポリスチレンフォーム保温筒［ｍ］,粘着テープ［ｍ］,ポリエチレンフィルム［ｍ］,ポリエチレンフィルム［ｍ］,ポリエチレンフィルム［ｍ］,ポリエチレンフィルム［ｍ］,ポリエチレンフィルム［ｍ］,アルミガラスクロス［ｍ］,アルミガラスクロス［ｍ］,アルミガラスクロス［ｍ］,雑材料,運搬費,保温工［人］,その他,,
区分,保温材質,施工箇所,呼び径,単位,30厚,40厚,50厚,粘着テープ［ｍ］,100幅125幅,100幅125幅,150幅,200幅250幅,200幅250幅,100幅,125幅150幅,125幅150幅,雑材料,運搬費,保温工［人］,その他,,
,,,15,,1.03,－,－,3.8,6.5,－,－,－,－,4.0,－,－,,,0.114,,,
,,,20,,1.03,－,－,3.9,6.9,－,－,－,－,4.2,－,－,,,0.118,,,
,,,25,,－,1.03,－,4.4,9.0,－,－,－,－,5.6,－,－,,,0.127,,,
,,,32,,－,1.03,－,4.6,－,7.6,－,－,－,－,4.5,－,,１,0.149,,,
冷,,,40,,－,1.03,－,4.7,－,8.0,－,－,－,－,4.8,－,,式,0.162,,,
水,ポリスチレンフ,,,,,,,,,,,,,,,,,式,,,,
管,ポリスチレンフ,機,50,,－,1.03,－,4.9,－,8.7,－,－,－,－,5.2,－,１,材,0.178,,,
冷水温度,ポリスチレンフ,械,,,,,,,,,,,,,,,式,料費＋雑材料費),,,,
冷水温度,ポリスチレンフ,室、書庫,6580,m,－－,1.031.03,－－,5.25.4,－－,9.5－,－8.6,－－,－－,－－,5.8－,－5.0,材料費,料費＋雑材料費),0.1930.210,1式,,
２～４４,ォム,、倉庫,100,,－,1.03,－,5.9,－,－,9.8,－,－,－,－,5.8,×0.05,料費＋雑材料費),0.262,,,
℃,ォム,,,,,,,,,,,,,,,,,×,,,,
,,,125,,－,－,1.03,6.9,－,－,12.0,－,－,－,－,7.2,,0.03,0.311,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,150,,－,－,1.03,7.3,－,－,13.2,－,－,－,－,7.9,,,0.354,,,
,,,200,,－,－,1.03,8.2,－,－,－,11.8,－,－,－,9.5,,,0.453,,,
,,,250,,－,－,1.03,9.0,－,－,－,13.6,－,－,－,11.0,,,0.560,,,
,,,300,,－,－,1.03,9.9,－,－,－,－,12.4,－,－,12.6,,,0.673,,,
