Unnamed:0,Unnamed:1,材,料,Unnamed:4,Unnamed:5,Unnamed:6,Unnamed:7,注
,,,,,,,,
,,,,,雑,運,保,
呼単,ロックウール保温筒,ロックウール保温筒,アルミガラスクロス,アルミガラスクロス,,,,
,［ｍ］,原紙,［ｍ］,［ｍ］,材,搬,温,
"び
位",,［ｍ２］,,,,,工,
径,20厚25厚,40厚,75幅100幅,125幅150幅,料,費,［人］,
15,1.05－,－0.23,4.3－,－－,,,0.075,
20,1.05－,－0.25,4.7－,－－,,,0.078,
25,1.05－,－0.27,－3.6,－－,,,0.085,
32,1.05－,－0.31,－4.0,－－,,,0.088,
,,,,,,１,,
40,1.05－,－0.33,－4.3,－－,,式,0.095,
,,,,,,,,
50,1.05－,－0.37,－4.9,－－,１,材,0.104,
,,,,,式,料,,
,,,,,,費,,
65,1.05－,－0.43,－－,4.3－,材,＋,0.112,
m,,,,,料,雑,,
80,1.05－,－0.48,－－,4.8－,"費
×","材
料",0.123,
,,,,,0.05,費,,
100,－1.05,－0.61,－－,－4.9,,),0.164,
,,,,,,×,,
125,－1.05,－0.71,－－,－5.7,,0.03,0.192,
,,,,,,,,
150,－1.05,－0.81,－－,－6.4,,,0.219,
200,－－,1.051.11,－－,－8.9,,,0.316,
250,－－,1.051.30,－－,－10.4,,,0.386,
300,－－,1.051.50,－－,－12.0,,,0.470,
