Unnamed:0,Unnamed:1,材,料,Unnamed:4,Unnamed:5,Unnamed:6,Unnamed:7,備考,注
,,,,,,,,,
,,,,,雑,運,保,,
呼単,ロックウール保温筒アルミガラスクロス,ロックウール保温筒アルミガラスクロス,ロックウール保温筒アルミガラスクロス,ロックウール保温筒アルミガラスクロス,,,,,
,［ｍ］,,［ｍ］,,材,搬,温,,
び位,,,,,,,工,,
径,20厚25厚,40厚75幅,100幅125幅,150幅,料,費,［人］,,
15,1.05－,－4.3,－－,－,,,0.052,,
20,1.05－,－4.7,－－,－,,,0.056,,
25,1.05－,－－,3.6－,－,,,0.061,,
32,1.05－,－－,4.0－,－,,,0.065,,
,,,,,,１,,,
40,1.05－,－－,4.3－,－,,式,0.071,,
,,,,,,,,,
50,1.05－,－－,4.9－,－,１,材,0.077,,
,,,,,式,料,,,
,,,,,,費,,,
65,1.05－,－－,－4.3,－,材,＋,0.082,,
m,,,,,料,雑,,,
80,1.05－,－－,－4.8,－,費×,材料,0.091,,
,,,,,0.05,費,,,
100,－1.05,－－,－－,4.9,,),0.122,,
,,,,,,×,,,
125,－1.05,－－,－－,5.7,,0.03,0.143,,
,,,,,,,,,
150,－1.05,－－,－－,6.4,,,0.163,,
200,－－,1.05－,－－,8.9,,,0.231,,
250,－－,1.05－,－－,10.4,,,0.291,,
300,－－,1.05－,－－,12.0,,,0.359,,
