摘,摘.1,要,要.1,単位,材,材.1,材.2,材.3,材.4,材.5,材.6,料,料.1,料.2,料.3,雑材料,雑材料.1,運搬費,保温工［人］,その他,備考,注
区分,保温材質,施工箇所,呼び径,単位,ロックウール保温筒［ｍ］,ロックウール保温筒［ｍ］,ロックウール保温筒［ｍ］,ポリエチレンフィルム［ｍ］,ポリエチレンフィルム［ｍ］,ポリエチレンフィルム［ｍ］,ポリエチレンフィルム［ｍ］,着色アルミガラスクロス［ｍ］,着色アルミガラスクロス［ｍ］,着色アルミガラスクロス［ｍ］,着色アルミガラスクロス［ｍ］,雑材料,雑材料,運搬費,保温工［人］,その他,,
区分,保温材質,施工箇所,呼び径,単位,20厚,30厚,40厚,100幅,125幅,150幅200幅,150幅200幅,250幅,100幅,125幅,150幅,雑材料,雑材料,運搬費,保温工［人］,その他,,
,,,15,,1.05,－,－,5.0,－,－,－,－,3.0,－,－,,,,0.065,,,
,,,20,,1.05,－,－,5.4,－,－,－,－,3.2,－,－,,,,0.071,,,
,,,25,,1.05,－,－,5.9,－,－,－,－,3.6,－,－,,,,0.077,,,
,,,32,,－,1.05,－,－,6.4,－,－,－,5.0,－,－,,,１,0.086,,,
,,暗渠内,40,,－,1.05,－,－,6.8,－,－,－,5.3,－,－,,,式材料,0.095,,,
,ロック,暗渠内,50,,－,1.05,－,－,7.5,－,－,－,－,4.5,－,１式,,式材料,0.104,,,
蒸気管,ロック,ピット内を,65,m,－,－,1.05,－,9.5,－,－,－,－,5.8,－,材料費×,,費＋雑,0.114,1,,
蒸気管,ウル,ピット内を,80,m,－,－,1.05,－,－,8.6,－,－,－,－,5.0,材料費×,,材料費×0.03,0.126,式,,
,ウル,含む,100125,,－－,－－,1.051.05,－－,－－,9.811.0,－－,－－,－－,－－,5.86.6,0.05,0.05,材料費×0.03,0.1670.195,,,
,,,150,,－,－,1.05,－,－,12.2,－,－,－,－,7.3,,,,0.221,,,
,,,200,,－,－,1.05,－,－,－,11.1,－,－,－,8.9,,,,0.305,,,
,,,250,,－,－,1.05,－,－,－,12.9,－,－,－,10.5,,,,0.387,,,
,,,300,,－,－,1.05,－,－,－,－,11.8,－,－,12.0,,,,0.457,,,
