呼単,グラスウール保温筒アルミガラスクロス,グラスウール保温筒アルミガラスクロス.1,グラスウール保温筒アルミガラスクロス.2,グラスウール保温筒アルミガラスクロス.3,Unnamed:5,Unnamed:6,Unnamed:7,注
,［ｍ］,,［ｍ］,,材,搬,温,
"び
位",,,,,,,工,
径,20厚25厚,40厚75幅,100幅125幅,150幅,料,費,［人］,
15,1.05－,－4.3,－－,－,,,0.047,
20,1.05－,－4.7,－－,－,,,0.049,
25,1.05－,－－,3.6－,－,,,0.053,
32,1.05－,－－,4.0－,－,,,0.056,
,,,,,,１,,
40,1.05－,－－,4.3－,－,,式,0.061,
,,,,,,,,
50,1.05－,－－,4.9－,－,１,材,0.068,
,,,,,式,料,,
,,,,,,費,,
65,1.05－,－－,－4.3,－,材,＋,0.073,
m,,,,,料,雑,,
80,1.05－,－－,－4.8,－,"費
×","材
料",0.080,
,,,,,0.05,費,,
100,－1.05,－－,－－,4.9,,),0.108,
,,,,,,×,,
125,－1.05,－－,－－,5.7,,0.03,0.128,
,,,,,,,,
150,－1.05,－－,－－,6.4,,,0.146,
200,－－,1.05－,－－,8.9,,,0.207,
250,－－,1.05－,－－,10.5,,,0.264,
300,－－,1.05－,－－,12.0,,,0.325,
