材料,材料.1,雑材料,運搬費,保温工［人］,ダクト工［人］,備考,注
グラスウー［ｍル］保温筒合(成ジャ樹ケ脂ッ製トタカイバプー)２［ｍ］［ｍ］,グラスウー［ｍル］保温筒合(成ジャ樹ケ脂ッ製トタカイバプー)２［ｍ］［ｍ］,雑材料,運搬費,保温工［人］,ダクト工［人］,,
20厚30厚40厚20厚用30厚用,40厚用,雑材料,運搬費,保温工［人］,ダクト工［人］,,
1.05－－1.05－,－,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.034,0.029,,
1.05－－1.05－1.05－－1.05－,－－,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.0350.036,0.0300.033,,
－1.05－－1.05,－,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.045,0.039,,
－1.05－－1.05,－,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.050,0.042,,
－1.05－－1.05,－,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.054,0.045,,
－－1.05－－,1.05,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.078,0.056,,
－－1.05－－,1.05,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.084,0.060,,
－－1.05－－,1.05,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.105,0.068,,
－－1.05－－,1.05,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.121,0.077,,
－－1.05－－,1.05,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.142,0.085,,
－－1.05－－,1.05,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.168,0.101,,
－－1.05－－,1.05,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.193,0.120,,
－－1.05－－,1.05,１式材料費×0.05,１式材料費＋雑材料費×0.03,0.223,0.136,,
