細目,摘要,単位,材料,ダクト工［人］,その他,備考,注
細目,摘要,単位,ダンパー等［個］,ダクト工［人］,その他,,
,0.1ｍ２以下,,,0.42,,,
,0.2ｍ２以下,,,0.44,,,
,0.3ｍ２以下,,,0.46,,,
,0.4ｍ２以下,,,0.48,,,
,0.5ｍ２以下,,,0.50,,,
,0.6ｍ２以下,,,0.55,,,
,0.7ｍ２以下,,,0.60,,,
風量調節ダンパー(ＶＤ),0.8ｍ２以下,,,0.65,,,
逆流防止ダンパー(ＣＤ),0.9ｍ２以下,個,1,0.70,１式,,
モーターダンパー(ＭＤ),1.0ｍ２以下,,,0.75,,,
,1.2ｍ２以下,,,0.80,,,
,1.4ｍ２以下,,,0.90,,,
,1.6ｍ２以下,,,1.00,,,
,1.8ｍ２以下,,,1.10,,,
,2.0ｍ２以下,,,1.20,,,
,2.2ｍ２以下,,,1.30,,,
,2.4ｍ２以下,,,1.40,,,
,0.1ｍ２以下,,,0.45,,,
,0.2ｍ２以下,,,0.48,,,
,0.3ｍ２以下,,,0.50,,,
,0.4ｍ２以下,,,0.53,,,
,0.5ｍ２以下,,,0.55,,,
,0.6ｍ２以下,,,0.60,,,
防火ダンパー(ＦＤ),0.7ｍ２以下,,,0.65,,,
防火ダンパー(ＦＤ),0.8ｍ２以下,,,0.70,,,
防煙ダンパー(ＳＤ),0.8ｍ２以下,,,0.70,,,
防火防煙ダンパー(ＳＦＤ)ピストンダンパー(ＰＤ)排煙ダンパー(ＳＭＤ),0.9ｍ２以下,個,1,0.75,１式,,
防火防煙ダンパー(ＳＦＤ)ピストンダンパー(ＰＤ)排煙ダンパー(ＳＭＤ),1.0ｍ２以下,,,0.80,,,
,1.2ｍ２以下,,,0.90,,,
,1.4ｍ２以下,,,1.00,,,
,1.6ｍ２以下,,,1.10,,,
,1.8ｍ２以下,,,1.20,,,
,2.0ｍ２以下,,,1.30,,,
,2.2ｍ２以下,,,1.40,,,
,2.4ｍ２以下,,,1.50,,,
風量測定口,,個,1,0.23,１式,,
ベントキャップ,,個,1,0.20,１式,,
点検口(ダクト用),0.2ｍ２未満,か所,1,0.30,１式,,
点検口(ダクト用),0.2ｍ２以上,か所,1,0.32,１式,,
