表,作業名,摘　要,単位,材　料,材　料.1,材　料.2,材　料.3,材　料.4,材　料.5,雑材料,"電工
［人］",注
表RE-2-3【設】,ＨＩＤ灯器具(イ),摘要,単位,"Ｈ
Ｉ
Ｄ
灯
［個］",ポール,ポール,ポール,ポール,ポール,雑材料,"電工
［人］",
表RE-2-3【設】,ＨＩＤ灯器具(イ),摘要,単位,"Ｈ
Ｉ
Ｄ
灯
［個］","Ｔ
3.5
［本］","Ｔ
4
［本］","Ｔ
4.5
［本］","Ｔ
5
［本］","Ｔ
5.5
［本］",雑材料,"電工
［人］",
表RE-2-3【設】,ＨＩＤ灯器具(イ),"ポールライト
100Ｗ",灯,1,1,,,,,"１式
材
料
価
格
×
0.02",1.51,
表RE-2-3【設】,ＨＩＤ灯器具(イ),100Ｗ,灯,1,,1,,,,"１式
材
料
価
格
×
0.02",1.51,
表RE-2-3【設】,ＨＩＤ灯器具(イ),200Ｗ,灯,1,,,1,,,"１式
材
料
価
格
×
0.02",1.78,
表RE-2-3【設】,ＨＩＤ灯器具(イ),200Ｗ,灯,1,,,,1,,"１式
材
料
価
格
×
0.02",1.78,
表RE-2-3【設】,ＨＩＤ灯器具(イ),200Ｗ,灯,1,,,,,1,"１式
材
料
価
格
×
0.02",1.78,
表RE-2-3【設】,ＨＩＤ灯器具(イ),250Ｗ,灯,1,,,1,,,"１式
材
料
価
格
×
0.02",1.84,
表RE-2-3【設】,ＨＩＤ灯器具(イ),"250Ｗ
250Ｗ",灯,"1
1",,,,1,1,"１式
材
料
価
格
×
0.02","1.84
1.84",
表RE-2-3【設】,ＨＩＤ灯器具(イ),"300Ｗ
300Ｗ",灯,"1
1",,,1,1,,"１式
材
料
価
格
×
0.02","2.02
2.02",
表RE-2-3【設】,ＨＩＤ灯器具(イ),300Ｗ,灯,1,,,,,1,"１式
材
料
価
格
×
0.02",2.02,
表RE-2-3【設】,ＨＩＤ灯器具(イ),400Ｗ,灯,1,,,1,,,"１式
材
料
価
格
×
0.02",2.02,
表RE-2-3【設】,ＨＩＤ灯器具(イ),400Ｗ,灯,1,,,,1,,"１式
材
料
価
格
×
0.02",2.02,
表RE-2-3【設】,ＨＩＤ灯器具(イ),400Ｗ,灯,1,,,,,1,"１式
材
料
価
格
×
0.02",2.02,
