表,作業名,細　目,摘　要,単位,材料,"雑
材
料","電
工
［人］","普
通
作
業
員
［人］","そ
の
他",備　考,注
表RE-2-14【設】,変圧器(柱上取付け),細目,摘要,単位,"変
圧
器
［台］","雑
材
料","電
工
［人］","普
通
作
業
員
［人］","そ
の
他",備考,
表RE-2-14【設】,変圧器(柱上取付け),,単相5kVA,,1,,0.547,0.547,,,
表RE-2-14【設】,変圧器(柱上取付け),,単相10kVA,,1,,0.644,0.644,,,
表RE-2-14【設】,変圧器(柱上取付け),,単相15kVA,,1,,0.644,0.644,,,
表RE-2-14【設】,変圧器(柱上取付け),,単相20kVA,,1,,1.09,1.09,,,
表RE-2-14【設】,変圧器(柱上取付け),,単相25kVA,,1,,1.09,1.09,,,
表RE-2-14【設】,変圧器(柱上取付け),,単相30kVA,,1,,1.15,1.15,,,
表RE-2-14【設】,変圧器(柱上取付け),,単相50kVA,,1,,1.36,1.36,,,
表RE-2-14【設】,変圧器(柱上取付け),,単相75kVA,台,1,,2.24,2.24,,,
表RE-2-14【設】,変圧器(柱上取付け),,三相5kVA,台,1,１式,0.697,0.697,,,
表RE-2-14【設】,変圧器(柱上取付け),,三相10kVA,,1,,0.817,0.817,,,
表RE-2-14【設】,変圧器(柱上取付け),,三相15kVA,,1,材,0.817,0.817,,,
表RE-2-14【設】,変圧器(柱上取付け),,三相20kVA,,1,"料
価",1.32,1.32,,,
表RE-2-14【設】,変圧器(柱上取付け),,三相25kVA,,1,格,1.32,1.32,,,
表RE-2-14【設】,変圧器(柱上取付け),変圧器,三相30kVA,,1,×,1.45,1.45,１式,,
表RE-2-14【設】,変圧器(柱上取付け),(6kV／3kV),三相50kVA,,1,0.02,1.70,1.70,１式,,
表RE-2-14【設】,変圧器(柱上取付け),,三相75kVA,,1,,2.53,2.53,,,
表RE-2-14【設】,変圧器(柱上取付け),,単相10kVA×２,,2,,1.06,1.06,,,
表RE-2-14【設】,変圧器(柱上取付け),,単相15kVA×２,,2,,1.45,1.45,,,
表RE-2-14【設】,変圧器(柱上取付け),,単相20kVA×２,,2,,1.79,1.79,,,
表RE-2-14【設】,変圧器(柱上取付け),,単相30kVA×２,台,2,,1.90,1.90,,,
表RE-2-14【設】,変圧器(柱上取付け),,三相10kVA×２,台,2,,1.34,1.34,,,
表RE-2-14【設】,変圧器(柱上取付け),,三相15kVA×２,,2,,1.78,1.78,,,
表RE-2-14【設】,変圧器(柱上取付け),,三相20kVA×２,,2,,2.19,2.19,,,
表RE-2-14【設】,変圧器(柱上取付け),,三相30kVA×２,,2,,2.40,2.40,,,
表RE-2-14【設】,変圧器(柱上取付け),,三相10kVA×３,,3,,1.87,1.87,,,
表RE-2-14【設】,変圧器(柱上取付け),,三相15kVA×３,台,3,,2.47,2.47,,,
表RE-2-14【設】,変圧器(柱上取付け),,三相20kVA×３,台,3,,3.05,3.05,,,
表RE-2-14【設】,変圧器(柱上取付け),,三相30kVA×３,,3,,3.34,3.34,,,
