表,作業名,細目,摘要,単位,材料,ダクト工,その他,注
表ＲＭ－２－５【市】,ダクト附属品(1/2),細目,摘要,単位,吹出口等［個］,［人］,その他,
表ＲＭ－２－５【市】,ダクト附属品(1/2),,0.04ｍ２以下,,,0.33,,
表ＲＭ－２－５【市】,ダクト附属品(1/2),,0.06ｍ２以下,,,0.34,,
表ＲＭ－２－５【市】,ダクト附属品(1/2),,0.08ｍ２以下,,,0.36,,
表ＲＭ－２－５【市】,ダクト附属品(1/2),"吹出口
ユニバーサル形
(ＶＨＳ、ＶＳ、ＶＨ、Ｖ)","0.10ｍ２以下
0.15ｍ２以下",個,1,"0.38
0.40",１式,
表ＲＭ－２－５【市】,ダクト附属品(1/2),"吹出口
ユニバーサル形
(ＶＨＳ、ＶＳ、ＶＨ、Ｖ)","0.20ｍ２以下
0.25ｍ２以下",個,1,"0.44
0.48",１式,
表ＲＭ－２－５【市】,ダクト附属品(1/2),,0.30ｍ２以下,,,0.54,,
表ＲＭ－２－５【市】,ダクト附属品(1/2),,0.35ｍ２以下,,,0.58,,
表ＲＭ－２－５【市】,ダクト附属品(1/2),,0.40ｍ２以下,,,0.70,,
表ＲＭ－２－５【市】,ダクト附属品(1/2),"吹出口
シーリングディフューザー
(Ｃ２、ＣＡ、ＣＤ、Ｅ２、ＥＡ、ＥＤ)","直径200mm以下
250～350mm
400～500mm",個,1,"0.39
0.46
0.55",１式,
表ＲＭ－２－５【市】,ダクト附属品(1/2),,550mm以上,,,0.63,,
表ＲＭ－２－５【市】,ダクト附属品(1/2),ノズル形吹出口,,個,1,0.39,１式,
表ＲＭ－２－５【市】,ダクト附属品(1/2),"線状吹出口
(ＢＬ-Ｓ、ＢＬ-Ｄ)","長辺1ｍ以下
1ｍを超え、2m以下",個,1,"0.34
0.52",１式,
表ＲＭ－２－５【市】,ダクト附属品(1/2),"線状吹出口
(ＢＬ-Ｓ、ＢＬ-Ｄ)",2ｍを超え、3m以下,,,0.70,,
表ＲＭ－２－５【市】,ダクト附属品(1/2),,0.1ｍ２以下,,,0.42,,
表ＲＭ－２－５【市】,ダクト附属品(1/2),,0.2ｍ２以下,,,0.44,,
表ＲＭ－２－５【市】,ダクト附属品(1/2),,0.3ｍ２以下,,,0.46,,
表ＲＭ－２－５【市】,ダクト附属品(1/2),,0.4ｍ２以下,,,0.50,,
表ＲＭ－２－５【市】,ダクト附属品(1/2),,0.5ｍ２以下,,,0.55,,
表ＲＭ－２－５【市】,ダクト附属品(1/2),,0.6ｍ２以下,,,0.60,,
表ＲＭ－２－５【市】,ダクト附属品(1/2),,0.7ｍ２以下,,,0.65,,
表ＲＭ－２－５【市】,ダクト附属品(1/2),"吸込口
(GV､GVS)","0.8ｍ２以下
0.9ｍ２以下",個,1,"0.70
0.75",１式,
表ＲＭ－２－５【市】,ダクト附属品(1/2),"吸込口
(GV､GVS)",1.0ｍ２以下,,,0.80,,
表ＲＭ－２－５【市】,ダクト附属品(1/2),,1.2ｍ２以下,,,0.90,,
表ＲＭ－２－５【市】,ダクト附属品(1/2),,1.4ｍ２以下,,,1.00,,
表ＲＭ－２－５【市】,ダクト附属品(1/2),,1.6ｍ２以下,,,1.10,,
表ＲＭ－２－５【市】,ダクト附属品(1/2),,1.8ｍ２以下,,,1.20,,
表ＲＭ－２－５【市】,ダクト附属品(1/2),,2.0ｍ２以下,,,1.30,,
表ＲＭ－２－５【市】,ダクト附属品(1/2),,2.2ｍ２以下,,,1.40,,
表ＲＭ－２－５【市】,ダクト附属品(1/2),,2.4ｍ２以下,,,1.50,,
表ＲＭ－２－５【市】,ダクト附属品(1/2),"排煙口
(手動操作装置を含む)",長辺0.5ｍ未満,,,0.60,,
表ＲＭ－２－５【市】,ダクト附属品(1/2),"排煙口
(手動操作装置を含む)",1.0ｍ未満,組,1,0.80,１式,
表ＲＭ－２－５【市】,ダクト附属品(1/2),"排煙口
(手動操作装置を含む)",1.0ｍ以上,,,1.10,,
