表,作業名,細目,摘要,単位,材料,"配管工
［人］",その他,注
表ＲＭ－４－２【専】,スプリンクラー設備,細目,摘要,単位,"流水検知装置等
［組］","配管工
［人］",その他,
表ＲＭ－４－２【専】,スプリンクラー設備,80A,80A,80A,,3.00,,
表ＲＭ－４－２【専】,スプリンクラー設備,流水検知装置,100,組,1,3.30,１式,
表ＲＭ－４－２【専】,スプリンクラー設備,流水検知装置,125,組,1,3.60,１式,
表ＲＭ－４－２【専】,スプリンクラー設備,,125,,,3.60,,
表ＲＭ－４－２【専】,スプリンクラー設備,150,150,150,,4.00,,
表ＲＭ－４－２【専】,スプリンクラー設備,,7.5kW以下,,,2.50,,
表ＲＭ－４－２【専】,スプリンクラー設備,ポンプ制御盤,11～19kW,面,1［面］,2.80,１式,
表ＲＭ－４－２【専】,スプリンクラー設備,ポンプ制御盤,22kW,面,1［面］,3.30,１式,
表ＲＭ－４－２【専】,スプリンクラー設備,,22kW,,,3.30,,
表ＲＭ－４－２【専】,スプリンクラー設備,37kW以上,37kW以上,37kW以上,,4.00,,
表ＲＭ－４－２【専】,スプリンクラー設備,スプリンクラーヘッド,天井穴明け、附属品共,個,1［個］,0.18,１式,
表ＲＭ－４－２【専】,スプリンクラー設備,同上用保護網,,個,1［個］,0.07,１式,
表ＲＭ－４－２【専】,スプリンクラー設備,末端試験弁,25A仕切弁、テスト用放水口、圧力計共,組,1,0.50,１式,
表ＲＭ－４－２【専】,スプリンクラー設備,起動用水圧開閉装置,100L圧力タンク、附属品共,組,1,2.50,１式,
表ＲＭ－４－２【専】,スプリンクラー設備,呼水槽,100L、150Lブラケット共,基,1［基］,2.00,１式,
表ＲＭ－４－２【専】,スプリンクラー設備,スプリンクラー用送水口,65A埋込形、銘板共,個,1［個］,0.60,１式,
表ＲＭ－４－２【専】,スプリンクラー設備,ベル,,個,1［個］,0.20,１式,
表ＲＭ－４－２【専】,スプリンクラー設備,流量測定装置,仕切弁共,組,1,1.00,１式,
表ＲＭ－４－２【専】,スプリンクラー設備,補助散水栓箱(埋込形),"ホース、ノズル、ホース収納装置、
(発信機、表示灯、電鈴)箱",組,1,1.40,１式,
表ＲＭ－４－２【専】,スプリンクラー設備,補助散水栓箱(露出形),"ホース、ノズル、ホース収納装置、
(発信機、表示灯、電鈴)箱",組,1,1.25,１式,
