表,作業名,名 称,摘要,単位,19形(屋内),19形(屋内).1,19形(屋内).2,19形(屋内).3,25形(屋外),25形(屋外).1,25形(屋外).2,25形(屋外).3,備 考,注
表RA-14-2【市】【専】,軽量鉄骨天井下地(1㎡当たり),名称,摘要,単位,下地張りなし,下地張りなし,下地張りあり,金属成形板用,下地張りなし,下地張りなし,下地張りあり,金属成形板用,備考,
表RA-14-2【市】【専】,軽量鉄骨天井下地(1㎡当たり),名称,摘要,単位,@225,@300,@360,@360,@225,@300,@360,@360,備考,
表RA-14-2【市】【専】,軽量鉄骨天井下地(1㎡当たり),つりボルト,,ｍ,1.5,1.5,1.5,1.5,0.8,0.8,0.8,0.8,,
表RA-14-2【市】【専】,軽量鉄骨天井下地(1㎡当たり),野縁受け,,ｍ,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,,
表RA-14-2【市】【専】,軽量鉄骨天井下地(1㎡当たり),野縁受ハンガ,,個,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,
表RA-14-2【市】【専】,軽量鉄骨天井下地(1㎡当たり),ナット,,個,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,,
表RA-14-2【市】【専】,軽量鉄骨天井下地(1㎡当たり),野縁受けジョイント,,個,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,
表RA-14-2【市】【専】,軽量鉄骨天井下地(1㎡当たり),シングル野縁,,ｍ,2.3,2.3,2.3,2.9,2.3,2.3,2.9,3.5,,
表RA-14-2【市】【専】,軽量鉄骨天井下地(1㎡当たり),ダブル野縁,,ｍ,2.3,1.2,0.6,－,2.3,1.2,0.6,－,,
表RA-14-2【市】【専】,軽量鉄骨天井下地(1㎡当たり),シングル野縁ジョイント,,個,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.5,,
表RA-14-2【市】【専】,軽量鉄骨天井下地(1㎡当たり),ダブル野縁ジョイント,,個,0.3,0.2,0.1,－,0.3,0.2,0.1,－,,
表RA-14-2【市】【専】,軽量鉄骨天井下地(1㎡当たり),シングルクリップ,,個,2.6,2.6,2.6,3.2,2.6,2.6,3.2,3.9,,
表RA-14-2【市】【専】,軽量鉄骨天井下地(1㎡当たり),ダブルクリップ,,個,2.6,1.3,0.6,－,2.6,1.3,0.6,－,,
表RA-14-2【市】【専】,軽量鉄骨天井下地(1㎡当たり),内装工,,人,0.041,0.037,0.035,0.035,0.055,0.049,0.049,0.049,,
表RA-14-2【市】【専】,軽量鉄骨天井下地(1㎡当たり),その他,,式,1,1,1,1,1,1,1,1,,
