表,作業名,機械名,規 格,適用単価表,運転労務(人),燃料(軽油)(Ｌ),機械損料(供用日),備 考,注
表RA-2-38【市】【専】,土工機械運転(1日当たり),バックホウ,排出ガス対策型-油圧式クローラ型1.4ｍ3,単価表１(別表RA-2-38-1),1.0,140,1.50,,
表RA-2-38【市】【専】,土工機械運転(1日当たり),バックホウ,排出ガス対策型-油圧式クローラ型0.8ｍ3,単価表１(別表RA-2-38-1),1.0,87.5,1.50,,
表RA-2-38【市】【専】,土工機械運転(1日当たり),バックホウ,排出ガス対策型-油圧式クローラ型0.45ｍ3,単価表１(別表RA-2-38-1),1.0,50.1,1.50,,
表RA-2-38【市】【専】,土工機械運転(1日当たり),バックホウ,排出ガス対策型油圧式クローラ型0.28ｍ3,単価表１(別表RA-2-38-1),1.0,34.4,1.50,,
表RA-2-38【市】【専】,土工機械運転(1日当たり),バックホウ,排出ガス対策型-油圧式クローラ型0.13ｍ3,単価表１(別表RA-2-38-1),1.0,22.4,1.78,,
表RA-2-38【市】【専】,土工機械運転(1日当たり),クラムシェル,油圧ロープ式-クローラ型0.6ｍ3,単価表１(別表RA-2-38-1),1.0,101,1.50,,
表RA-2-38【市】【専】,土工機械運転(1日当たり),ブルドーザ,排出ガス対策型-普通15t級,単価表１(別表RA-2-38-1),1.0,68.5,1.67,,
表RA-2-38【市】【専】,土工機械運転(1日当たり),ブルドーザ,排出ガス対策型-普通3t級,単価表１(別表RA-2-38-1),1.0,20.5,1.67,,
表RA-2-38【市】【専】,土工機械運転(1日当たり),タイヤローラ,排出ガス対策型-8～20t,単価表１(別表RA-2-38-1),1.0,35.0,1.86,,
表RA-2-38【市】【専】,土工機械運転(1日当たり),振動ローラ,排出ガス対策型-搭乗式・タンデム型2.4～2.8t,単価表２(別表RA-2-38-2),─,15.5,1.57,,
表RA-2-38【市】【専】,土工機械運転(1日当たり),振動ローラ,ハンドガイド式-0.8～1.1t,単価表２(別表RA-2-38-2),─,6.7,1.50,,
表RA-2-38【市】【専】,土工機械運転(1日当たり),タンパ,60～80kg,単価表２(別表RA-2-38-2),─,5.0(ガソリン),1.33,,
