表,作業名,機 械 名,規 格,質量(t),運搬機械(規格),運搬機械(日数(往復)),備 考,注
別表RA-2-39-1【市】【専】,土工機械運搬,バックホウ,排出ガス対策型-油圧式クローラ型1.4ｍ3,31.8,トラック11t積,2.9,分解組立別途加算,
別表RA-2-39-1【市】【専】,土工機械運搬,バックホウ,排出ガス対策型-油圧式クローラ型0.8ｍ3,19.8,トラック11t積,2.0,,
別表RA-2-39-1【市】【専】,土工機械運搬,バックホウ,排出ガス対策型-油圧式クローラ型0.45ｍ3,10.7,トラック11t積,1.4,,
別表RA-2-39-1【市】【専】,土工機械運搬,バックホウ,排出ガス対策型-油圧式クローラ型0.28ｍ3,6.4,トラック11t積,1.1,,
別表RA-2-39-1【市】【専】,土工機械運搬,バックホウ,排出ガス対策型-油圧式クローラ型0.13ｍ3,4.2,トラック11t積,0.9,,
別表RA-2-39-1【市】【専】,土工機械運搬,クラムシェル,油圧ロープ式-クローラ型0.6ｍ3,33.7,トラック11t積,3.1,分解組立別途加算,
別表RA-2-39-1【市】【専】,土工機械運搬,ブルドーザ,排出ガス対策型-普通15t級,14.6,トラック11t積,1.7,,
別表RA-2-39-1【市】【専】,土工機械運搬,ブルドーザ,排出ガス対策型-普通3t級,3.8,トラック11t積,0.9,,
別表RA-2-39-1【市】【専】,土工機械運搬,タイヤローラ,排出ガス対策型-8～20t,14.8,トラック11t積,1.7,,
別表RA-2-39-1【市】【専】,土工機械運搬,振動ローラ,排出ガス対策型-搭乗式・タンデム型2.4～2.8t,2.5,トラック11t積,0.8,,
