表,作業名,名 称,摘 要,単位,小型構造物,鉄骨造建物(門形ラーメン),鉄 筋ｺﾝｸﾘｰﾄ造-建物(一般ラーメン),鉄 筋ｺﾝｸﾘｰﾄ造-建物(壁式),備 考,注
普通合板型枠(1㎡当たり),合板,型枠用厚12㎜-900×1,800㎜,㎡,1.25,1.05,1.04,1.03,27(50)％,
普通合板型枠(1㎡当たり),さん材,,ｍ3,0.007,0.004,0.004,0.003,36(50)％,,
普通合板型枠(1㎡当たり),角材,,ｍ3,0.02,―,0.003,0.003,20(50)％,,
普通合板型枠(1㎡当たり),丸パイプ,,ｍ,―,7.59,7.33,7.55,3％,,
普通合板型枠(1㎡当たり),パイプサポート,溶融亜鉛ﾒｯｷ,本,―,―,0.44,0.33,5％,,
普通合板型枠(1㎡当たり),セパレータ,ボルト式,個,―,2.18,1.74,1.71,100％,,
普通合板型枠(1㎡当たり),フォームタイ,座金とも,本,―,4.36,3.48,3.42,30％,,
普通合板型枠(1㎡当たり),鉄線,,kg,0.09,―,―,―,,,
普通合板型枠(1㎡当たり),くぎ金物,,kg,0.04,0.06,0.05,0.05,,,
普通合板型枠(1㎡当たり),はく離剤,,Ｌ,0.02,0.02,0.02,0.02,,,
普通合板型枠(1㎡当たり),型わく工,,人,0.15,0.11,0.13,0.13,,,
普通合板型枠(1㎡当たり),普通作業員,,人,0.07,0.05,0.07,0.06,,,
普通合板型枠(1㎡当たり),その他,,式,1,1,1,1,,,
