表,作業名,名 称,摘 要,単位,ＡⅠ－１,ＡⅠ－２,備,考,注
表RA-9-2【市】,屋根保護防水密着断熱工法(１㎡当たり),名称,摘要,単位,平面,平面,備,考,
表RA-9-2【市】,屋根保護防水密着断熱工法(１㎡当たり),アスファルトプライマー,,㎏,0.2,0.2,,,
表RA-9-2【市】,屋根保護防水密着断熱工法(１㎡当たり),アスファルト,3種,㎏,6.0,5.0,,,
表RA-9-2【市】,屋根保護防水密着断熱工法(１㎡当たり),アスファルトルーフィング,1500,㎡,2.28,1.14,,,
表RA-9-2【市】,屋根保護防水密着断熱工法(１㎡当たり),ストレッチルーフィング,1000,㎡,2.28,2.28,,,
表RA-9-2【市】,屋根保護防水密着断熱工法(１㎡当たり),フラットヤーンクロス,,㎡,1.1,1.1,,,
表RA-9-2【市】,屋根保護防水密着断熱工法(１㎡当たり),断熱材,厚25㎜,㎡,1.04,1.04,,,
表RA-9-2【市】,屋根保護防水密着断熱工法(１㎡当たり),燃料,重油,L,1.8,1.5,,,
表RA-9-2【市】,屋根保護防水密着断熱工法(１㎡当たり),防水工,,人,0.1,0.086,,,
表RA-9-2【市】,屋根保護防水密着断熱工法(１㎡当たり),普通作業員,,人,0.036,0.031,,,
表RA-9-2【市】,屋根保護防水密着断熱工法(１㎡当たり),その他,,式,1,1,,,
