Unnamed: 0,Unnamed: 1,Unnamed: 2,材,材.1,Unnamed: 5,料,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,注
,,,,,,,,雑,運,保,
呼,単,ロックウール保温筒,ロックウール保温筒,ポリエチレンフィルム,ポリエチレンフィルム,,アルミガラスクロス,,,,
,,［ｍ］,,,［ｍ］,原紙,［ｍ］,材,搬,温,
び,,,,,,［ｍ２］,,,,工,
,位,,,,,,,,,工,
径,,30厚40厚,50厚,100幅125幅,150幅200幅,250幅,100幅125幅150幅,料,費,［人］,
15,,1.05－,－,6.5－,－－,－0.30,4.0－－,,,0.096,
20,,1.05－,－,6.9－,－－,－0.32,4.2－－,,,0.100,
25,,1.05－,－,7.4－,－－,－0.35,4.6－－,,,0.109,
32,,－1.05,－,－7.6,－－,－0.46,－4.5－,,１,0.121,
40,,－1.05,－,－8.0,－－,－0.48,－4.8－,,式,0.130,
,,,,,,,,,,,
,,,,,,,,,,,
50,,－1.05,－,－8.7,－－,－0.52,－5.2－,１,材,0.142,
,,,,,,,,式,料,,
,,,,,,,,,費,,
65,,－1.05,－,－9.5,－－,－0.58,－5.8－,材,＋,0.154,
,m,,,,,,,,雑,,
,m,,,,,,,料,,,
80,,－1.05,－,－－,8.6－,－0.63,－－5.0,費,"材
料",0.168,
,,,,,,,,"×
0.05",費,,
100,,－1.05,－,－－,9.8－,－0.73,－－5.8,,),0.213,
,,,,,,,,,×,,
125,,－1.05,－,－－,11.0－,－0.82,－－6.6,,0.03,0.249,
,,,,,,,,,,,
150,,－1.05,－,－－,12.2－,－0.92,－－7.3,,,0.282,
200,,－1.05,－,－－,－11.0,－1.11,－－8.9,,,0.385,
250,,－－,1.05,－－,－13.6,－1.38,－－11.0,,,0.470,
300,,－－,1.05,－－,－－,12.41.57,－－12.6,,,0.564,
