Unnamed: 0,Unnamed: 1,材,材.1,料,料.1,"雑
材
料","運
搬
費","保
温
工
［人］",注
"呼
び
径","単
位","ロックウール保
［ｍ］","ロックウール保
［ｍ］","温筒
40厚","アルミガラス
化粧原紙
［ｍ２］","雑
材
料","運
搬
費","保
温
工
［人］",
"呼
び
径","単
位",20厚,30厚,"温筒
40厚","アルミガラス
化粧原紙
［ｍ２］","雑
材
料","運
搬
費","保
温
工
［人］",
15,,1.05,－,－,0.23,,,0.054,
20,,1.05,－,－,0.25,,,0.058,
25,,1.05,－,－,0.27,,,0.064,
32,,－,1.05,－,0.38,,,0.072,
,,,,,,,１,,
40,,－,1.05,－,0.40,,式,0.078,
,,,,,,,,,
50,,－,1.05,－,0.45,１,材,0.085,
,,,,,,式,料,,
,,,,,,,費,,
65,,－,－,1.05,0.58,材,＋,0.093,
,m,,,,,料,雑,,
80,,－,－,1.05,0.63,"費
×","材
料",0.103,
,,,,,,0.05,費,,
100,,－,－,1.05,0.73,,),0.135,
,,,,,,,×,,
125,,－,－,1.05,0.82,,0.03,0.158,
,,,,,,,,,
150,,－,－,1.05,0.92,,,0.180,
200,,－,－,1.05,1.11,,,0.248,
250,,－,－,1.05,1.30,,,0.311,
300,,－,－,1.05,1.50,,,0.383,
