材料,材料.1,材料.2,Unnamed: 3,Unnamed: 4,Unnamed: 5,ダ,注
,,,雑,運,保,,
グラスウール保温筒合(成ジャ樹ケ脂ッ製トタカイバプー)２,グラスウール保温筒合(成ジャ樹ケ脂ッ製トタカイバプー)２,グラスウール保温筒合(成ジャ樹ケ脂ッ製トタカイバプー)２,,,温,ク,
［ｍ］,,［ｍ］,材,搬,,ト,
,,,,,工,工,
20厚25厚,40厚20厚用,25厚用40厚用,料,費,［人］,［人］,
1.05－,－1.05,－－,,,0.035,0.026,
1.05－,－1.05,－－,,,0.036,0.029,
1.05－,－1.05,－－,,,0.037,0.030,
1.05－,－1.05,－－,,,0.038,0.034,
,,,,１,,,
1.05－,－1.05,－－,,式,0.041,0.036,
,,,,,,,
1.05－,－1.05,－－,１,材,0.046,0.039,
,,,式,料,,,
,,,,費,,,
1.05－,－1.05,－－,材,＋,0.052,0.043,
,,,料,雑,,,
1.05－,－1.05,－－,"費
×","材
料",0.056,0.047,
,,,0.05,費,,,
－1.05,－－,1.05－,,),0.076,0.059,
,,,,×,,,
－1.05,－－,1.05－,,0.03,0.095,0.068,
,,,,,,,
－1.05,－－,1.05－,,,0.112,0.075,
－－,1.05－,－1.05,,,0.168,0.101,
－－,1.05－,－1.05,,,0.198,0.120,
－－,1.05－,－1.05,,,0.230,0.136,
