Unnamed: 0,Unnamed: 1,材,Unnamed: 3,料,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,注
,,,,,,,,雑,運,保,
呼単,グラスウール保温筒,グラスウール保温筒,ポリエチレンフィルム,ポリエチレンフィルム,アルミガラスクロス,アルミガラスクロス,アルミガラスクロス,,,,
,,［ｍ］,［ｍ］,,原紙,［ｍ］,,材,搬,温,
び,,,,,［ｍ２］,,,,,工,
位,,,,,,,,,,工,
径,30厚,40厚50厚100幅,125幅150幅,200幅250幅,100幅,125幅,150幅,料,費,［人］,
15,1.05,－－6.5,－－,－－,0.304.0,－,－,,,0.088,
20,1.05,－－6.9,－－,－－,0.324.2,－,－,,,0.091,
25,1.05,－－7.4,－－,－－,0.354.6,－,－,,,0.098,
32,－,1.05－－,7.6－,－－,0.46－,4.5,－,,,0.115,
,,,,,,,,,１,,
40,－,1.05－－,8.0－,－－,0.48－,4.8,－,,式,0.123,
,,,,,,,,,,,
50,－,1.05－－,8.7－,－－,0.52－,5.2,－,１,材,0.136,
,,,,,,,,式,料,,
,,,,,,,,,費,,
65,－,1.05－－,9.5－,－－,0.58－,5.8,－,材,＋,0.147,
m,,,,,,,,,雑,,
m,,,,,,,,料,,,
80,－,1.05－－,－8.6,－－,0.63－,－,5.0,費,"材
料",0.161,
,,,,,,,,"×
0.05",費,,
100,－,1.05－－,－9.8,－－,0.73－,－,5.8,,×,0.199,
125,－,1.05－－,－11.0,－－,0.82－,－,6.6,,0.03,0.233,
,,,,,,,,,,,
150,－,1.05－－,－12.2,－－,0.92－,－,7.3,,,0.263,
200,－,1.05－－,－－,11.0－,1.11－,－,8.9,,,0.325,
250,－,－1.05－,－－,13.6－,1.38－,－,11.0,,,0.413,
300,－,－1.05－,－－,－12.4,1.57－,－,12.6,,,0.494,
