25,1.05 －,－ 5.9,－－,－－.1,0.39,－,Unnamed: 7,Unnamed: 8,0.047,0.082,注
32,－1.05,－－,6.4－,－－,0.50,－,,１,0.055,0.101,
40,－1.05,－－,6.8－,－－,0.52,－,,式,0.061,0.105,
,,,,,,,,,,,
50,－1.05,－－,7.5－,－－,0.57,－,１,材,0.066,0.114,
,,,,,,,式,料,,,
,,,,,,,,費,,,
65,－－,1.05－,9.5－,－－,0.71,－,材,＋,0.080,0.143,
,,,,,,,,雑,,,
m,,,,,,,料,,,,
80,－－,1.05－,－8.6,－－,0.76,－,"費
×","材
料",0.088,0.153,
,,,,,,,0.05,費,,,
100,－－,1.05－,－9.8,－－,0.86,－,,×,0.115,0.174,
125,－－,1.05－,－11.0,－－,0.97,－,,0.03,0.132,0.196,
,,,,,,,,,,,
150,－－,1.05－,－12.2,－－,1.07,－,,,0.155,0.216,
200,－－,1.05－,－－,11.1－,－,1.27,,,0.190,0.265,
250,－－,1.05－,－－,12.9－,－,1.48,,,0.232,0.305,
300,－－,1.05－,－－,－11.8,－,1.68,,,0.286,0.348,
