細　　　　目,摘要,単位,材料,"電工
［人］",調整費,その他,備考,注
細目,摘要,単位,"調節器類等
［個］","電工
［人］",調整費,その他,備考,
自動制御盤類,壁掛形,面,1［面］,2.4,材料費×0.1,１式,,
自動制御盤類,自立形,面,1［面］,4.8,材料費×0.1,１式,,
中央監視盤,デスク形,面,1［面］,9.6,材料費×0.1,１式,,
データロガ,,面,1［面］,2.8,材料費×0.1,１式,,
アフタクーラ,,基,1［基］,(1.5),材料費×0.1,１式,設備機械工,
エアタンク,,基,1［基］,(4.0),材料費×0.1,１式,設備機械工,
エアフィルター,,基,1［基］,(0.4),材料費×0.1,１式,設備機械工,
ヘッダー,,基,1［基］,(2.0),材料費×0.1,１式,設備機械工,
除湿装置,,台,1［台］,(1.3),材料費×0.1,１式,設備機械工,
減圧弁装置,,組,1［組］,(1.2),材料費×0.1,１式,配管工,
※調節器類,電子式,個,1,0.95,,１式,,
※調節器類,空気式,個,1,0.75,,１式,,
※ステップコントローラ,,個,1,1.50,,１式,モーター取付け含む,
※バランシングリレー,,個,1,0.75,,１式,,
※リレー類,,個,1,0.38,,１式,,
※トランス,,個,1,0.35,,１式,,
※手動操作器,,個,1,0.30,,１式,,
※温湿度指示計,,個,1,1.80,,１式,"切換リレー類、指示切換
ユニットは除く",
※温湿度記録計,,個,1,1.80,,１式,,
※切換スイッチ,,個,1,0.30,,１式,,
※変換器類,,個,1,0.53,,１式,,
