細 目 記 号 摘 要 単位,材料,"配管工
［人］",その他,注
細目記号摘要単位,衛生器具［組］,"配管工
［人］",その他,
"L-710
手洗器組
L-730",1,0.30,１式,
洗面化粧台組,1,0.58,１式,
洗濯機パントラップ付組,1,0.48,１式,
"S-210
掃除流しバック付き掃除流し組NS-210",1,1.10,１式,
飲料用冷水器立形冷水水飲器組,1,0.69,１式,
化粧棚陶器製縁付個,1［個］,0.15,１式,
鏡防湿形縁なし枚,1［枚］,0.23,１式,
身障者用鏡防湿形縁なし枚,1［枚］,0.40,１式,
水石けん入れ壁付押ボタン式個,1［個］,0.10,１式,
シートペーパーホルダ個,1［個］,0.13,１式,
仕切板小便器用、陶製個,1［個］,0.13,１式,
メディシングキャビネット露出形個,1［個］,0.13,１式,
タオル掛け金属製個,1［個］,0.13,１式,
紙巻器	(合紙巻器のみ取付の場)	個,1［個］,0.13,１式,
"大便器用
(洗浄弁のみ取付の場合)
洗浄弁個
小便器用
(洗浄弁のみ取付の場合)",1［個］,0.35,１式,
"大便器用
(洗浄弁のみ取付の場合)
洗浄弁個
小便器用
(洗浄弁のみ取付の場合)",1［個］,0.16,１式,
シャワーセット	湯固水定混合式栓シ、ャ吐ワ水ー口	組,1,1.00,１式,
"一括式
小便器用節水装置組
個別式",1,0.50,１式,
"一括式
小便器用節水装置組
個別式",1,0.16,１式,
和風大便器耐火カバー個,1［個］,0.50,１式,
温水洗浄式便座組,1,0.25,１式,
