名 称,摘 要,"単
位",Ａ種,Ｂ種,Ｂ種.1,Ｃ種,Ｃ種.1,備考,注
名称,摘要,"単
位","鉄筋
ｺﾝｸﾘｰﾄ造
建物
(一般ラー
メン)","鉄筋
ｺﾝｸﾘｰﾄ造
建物
(一般ラー
メン)","鉄筋
ｺﾝｸﾘｰﾄ造
建物
(壁式)","鉄筋
ｺﾝｸﾘｰﾄ造
建物
(一般ラー
メン)","鉄筋
ｺﾝｸﾘｰﾄ造
建物
(壁式)",備考,
,型枠用厚12㎜,㎡,,,,,,,
合板,,,1.06,1.06,1.06,1.06,1.06,30％,
,"900×1,800㎜",ｍ3,,,,,,,
さん材,,ｍ3,0.005,0.005,0.004,0.005,0.004,36％,
角材,,ｍ,0.003,0.003,0.003,0.003,0.003,20％,
丸パイプ,,本,7.33,7.33,7.55,7.33,7.55,3％,
パイプサポート,溶融亜鉛ﾒｯｷ,個,0.44,0.44,0.33,0.44,0.33,5％,
セパレータ,ボルト式,本,1.74,1.74,1.71,1.74,1.71,100％,
フォームタイ,座金とも,個,3.48,3.48,3.42,3.48,3.42,30％,
コーン,,kg,3.48,3.48,3.42,―,―,30％,
くぎ金物,,Ｌ,0.06,0.06,0.06,0.06,0.06,,
はく離剤,,人,―,0.02,0.02,0.02,0.02,,
型わく工,,人,0.18,0.16,0.16,0.13,0.13,,
普通作業員,,式,0.09,0.08,0.07,0.07,0.06,,
その他,,,1,1,1,1,1,,
