,積込機械,人力,,,,,,,,,,,,,,,,,
,運搬機種,ダンプトラック 2t積級,,,,,,,,,,,,,,,,,
,ＤＩＤ区間：無し,,,,,,,,,,,,,,,,,,
,運搬距離,0.3,0.5,1.5,2,2.5,3,4,5,,6.5,8.5,,11,16,27.5,60,,
,(km),以下,以下,以下,以下,以下,以下,以下,以下,,以下,以下,,以下,以下,以下,以下,,
,運搬日数,0.053,0.059,0.067,0.077,0.091,0.1,0.111,0.125,,0.143,0.167,,0.2,0.25,0.333,0.5,,
,ＤＩＤ区間：有り,,,,,,,,,,,,,,,,,,
,運搬距離,0.3,0.5,1,1.5,2,2.5,3.5,4.5,,6,8,,10.5,14.5,23,60,,
,(km),以下,以下,以下,以下,以下,以下,以下,以下,,以下,以下,,以下,以下,以下,以下,,
,運搬日数,0.053,0.059,0.067,0.077,0.091,0.1,0.111,0.125,,0.143,0.167,,0.2,0.25,0.333,0.5,,
