,土工機械運搬,,,,,,,,,,,,,
機 械 名,,規 格,,,,質量,,,運搬機械,,,,,備 考
,,,,,,(ｔ),,,規格,,,,日数(往復),
バックホウ,,排出ガス対策型 油圧式クローラ型1.4ｍ3,,,,31.8,,,トラック11t積,,,,2.9,分解組立別途加算
バックホウ,,排出ガス対策型 油圧式クローラ型0.8ｍ3,,,,19.8,,,トラック11t積,,,,2,
バックホウ,,排出ガス対策型 油圧式クローラ型0.45ｍ3,,,,10.7,,,トラック11t積,,,,1.4,
バックホウ,,排出ガス対策型 油圧式クローラ型0.28ｍ3,,,,6.4,,,トラック11t積,,,,1.1,
バックホウ,,排出ガス対策型 油圧式クローラ型0.13ｍ3,,,,4.2,,,トラック11t積,,,,0.9,
クラムシェル,,油圧ロープ式 クローラ型0.6ｍ3,,,,33.7,,,トラック11t積,,,,3.1,分解組立別途加算
ブルドーザ,,排出ガス対策型 普通15t級,,,,14.6,,,トラック11t積,,,,1.7,
ブルドーザ,,排出ガス対策型 普通3t級,,,,3.8,,,トラック11t積,,,,0.9,
タイヤローラ,,排出ガス対策型 8～20t,,,,14.8,,,トラック11t積,,,,1.7,
振動ローラ,,排出ガス対策型 搭乗式・タンデム型2.4～2.8t,,,,2.5,,,トラック11t積,,,,0.8,
