,屋根保護防水絶縁工法 (１㎡当たり),,,,,,,,,,,
名 称,,,摘 要,単位,Ｂ－１,,,,Ｂ－２,,,備 考
,,,,,平 面,,立上り 立下り面,,平 面,立上り 立下り面,,
アスファルトプライマー,,,,㎏,0.2,,0.2,,0.2,0.2,,
アスファルト,,,3種,㎏,6.2,,6.93,,5.2,5.93,,
ゴムアスファルト系シール材,,,,L,―,,0.25,,―,0.25,,
アスファルトルーフィング,,,1500,㎡,2.28,,2.28,,1.14,1.14,,
網状アスファルトルーフィング,,,,㎡,―,,0.26,,―,0.26,,
砂付あなあきルーフィング,,,,㎡,1.04,,△1.3,,1.04,△1.3,,
ストレッチルーフィング,,,1000,㎡,2.28,,3.14,,2.28,3.14,,
ポリエチレンフィルム,,,厚0.15㎜,㎡,1.1,,―,,1.1,―,,
燃料,,,重油,L,1.9,,2.7,,1.6,2.4,,
防水工,,,,人,0.091,,0.13,,0.076,0.11,,
普通作業員,,,,人,0.029,,0.042,,0.024,0.035,,
その他,,,,式,1,,1,,1,1,,
