,屋内防水密着工法 (１㎡当たり),,,,,,,,,,,,,,,,,
名 称,,,,摘 要,,,単位,Ｅ－１,,,,,,Ｅ－２,,,,備 考
,,,,,,,,平 面,,,立上り 立下り面,,,平 面,,立上り 立下り面,,
アスファルトプライマー,,,,,,,㎏,0.2,,,0.2,,,0.2,,0.2,,
アスファルト,,,,3種,,,㎏,5,,,6.93,,,4,,4.93,,
ゴムアスファルト系シール材,,,,,,,L,―,,,0.25,,,―,,0.25,,
アスファルトルーフィング,,,,1500,,,㎡,2.28,,,2.28,,,1.14,,1.14,,
網状アスファルトルーフィング,,,,,,,㎡,―,,,0.26,,,―,,0.26,,
ストレッチルーフィング,,,,1000,,,㎡,1.14,,,3.14,,,1.14,,2,,
燃料,,,,重油,,,L,1.5,,,2.1,,,1.2,,1.5,,
防水工,,,,,,,人,0.059,,,0.13,,,0.044,,0.091,,
普通作業員,,,,,,,人,0.021,,,0.041,,,0.016,,0.028,,
その他,,,,,,,式,1,,,1,,,1,,1,,
